substance_raw,norm_key,is_combination,atc_codes,atc_level1,atc_origin,supplier_name,supplier_norm,supplier_id,country_iso2,source,role,status,cep_type,norm_trace
"Meat Peptone S1, Ref. 19018",meat peptone s1|ref 19018,True,,,,Organotechnie SAS La Courneuve FR,organotechnie sas la courneuve fr,R1-CEP 2001-116 - Rev 01,FR,edqm_cep,api_cep,Valid,Chemical,combination of 2
"P Multocida Medium, Product code: 210313",p multocida medium|product code 210313,True,,,,"Becton, Dickinson and Company Sparks US",becton dickinson and company sparks us,R1-CEP 2001-170 - Rev 00,US,edqm_cep,api_cep,Withdrawn by Holder,Chemical,combination of 2
Theobromine - Text Deleted 1/07/2021,theobromine text deleted 1 07 2021,False,,,,"CSPC INNOVATION PHARMACEUTICAL CO., LTD. Shijiazhuang City CN",cspc innovation shijiazhuang city cn,R0-CEP 2010-168 - Rev 00,CN,edqm_cep,api_cep,Withdrawn by EDQM Failure to CEP procedure,Chemical,chemical notation detected - not split
Theobromine - Text Deleted 1/07/2021,theobromine text deleted 1 07 2021,False,,,,"CSPC INNOVATION PHARMACEUTICAL CO., LTD. Shijiazhuang City CN",cspc innovation shijiazhuang city cn,R0-CEP 2014-228 - Rev 00,CN,edqm_cep,api_cep,Expired,Chemical,chemical notation detected - not split
Boric Acid,boric acid,False,,,,Merck KGaA Darmstadt DE,merck kgaa darmstadt de,R1-CEP 2014-171 - Rev 00,DE,edqm_cep,api_cep,Valid,Chemical,
"Boric Acid, Granular and powder",boric acid,False,,,,BORAX FRANCAIS Coudekerque-Branche FR,borax francais coudekerque branche fr,R1-CEP 2008-310 - Rev 03,FR,edqm_cep,api_cep,Valid,Chemical,dropped non-substance component 'granular'; dropped non-substance component 'powder'
"Phosphoric acid, concentrated",concentrated|phosphoric acid,True,,,,ICL ADVANCED ADDITIVES St Louis US,icl advanced additives st louis us,R0-CEP 2014-299 - Rev 01,US,edqm_cep,api_cep,Expired,Chemical,combination of 2
Ammonium chloride,ammonium chloride,False,,,,QUALITY CHEMICALS S.L. Esparreguera ES,quality chemicals s l esparreguera es,R0-CEP 2021-326 - Rev 00,ES,edqm_cep,api_cep,Valid,Chemical,salt-strip skipped (electrolyte): ammonium chloride
Barium sulfate,barium sulfate,False,,,,VENATOR GERMANY GMBH Duisburg DE,venator germany duisburg de,R1-CEP 2006-257 - Rev 04,DE,edqm_cep,api_cep,Valid,Chemical,salt-strip skipped (electrolyte): barium sulfate
Benzocaine,benzocaine,False,,,,RAMDEV CHEMICAL PVT. LTD. Boisar IN,ramdev chemical boisar in,R0-CEP 2016-081 - Rev 00,IN,edqm_cep,api_cep,Expired,Chemical,
Benzocaine,benzocaine,False,,,,REINE LIFESCIENCE Ankleshwar IN,reine lifescience ankleshwar in,R0-CEP 2020-056 - Rev 00,IN,edqm_cep,api_cep,Valid,Chemical,
Benzocaine,benzocaine,False,,,,PHARMATEC Q LIMITED Swords IE,pharmatec q swords ie,CEP 2018-286 - Rev 02,IE,edqm_cep,api_cep,Withdrawn by Holder,Chemical,
Benzocaine,benzocaine,False,,,,APEX HEALTHCARE LIMITED Ankleshwar IN,apex healthcare ankleshwar in,CEP 2022-102 - Rev 01,IN,edqm_cep,api_cep,Valid,Chemical,
"Benzocaine, Standard and micronised",benzocaine|standard,True,,,,"ZHEJIANG BAMBOO PHARMACEUTICALS CO.,LTD. Shaoxing CN",zhejiang bamboo shaoxing cn,CEP 2022-395 - Rev 01,CN,edqm_cep,api_cep,Valid,Chemical,dropped non-substance component 'micronised'; combination of 2
"Benzocaine, Standard and micronised",benzocaine|standard,True,,,,"CHANGZHOU SUNLIGHT PHARMACEUTICAL CO., LTD. Benniu Town CN",changzhou sunlight benniu town cn,CEP 2004-008 - Rev 07,CN,edqm_cep,api_cep,Valid,Chemical,dropped non-substance component 'micronised'; combination of 2
"Borax, Granular and powder",borax,False,,,,BORAX FRANCAIS Coudekerque-Branche FR,borax francais coudekerque branche fr,R1-CEP 2009-207 - Rev 05,FR,edqm_cep,api_cep,Valid,Chemical,dropped non-substance component 'granular'; dropped non-substance component 'powder'
Calcium carbonate,calcium carbonate,False,,,,Specialty Minerals Lifford Birmingham GB,specialty minerals lifford birmingham gb,R1-CEP 1996-025 - Rev 02,GB,edqm_cep,api_cep,Valid,Chemical,salt-strip skipped (electrolyte): calcium carbonate
Calcium carbonate,calcium carbonate,False,,,,Società Generale per l'Industria della Magnesia S.p.A. Angera (Va) IT,societ generale per l industria della magnesia angera va it,R1-CEP 2003-242 - Rev 00,IT,edqm_cep,api_cep,Valid,Chemical,salt-strip skipped (electrolyte): calcium carbonate
Calcium carbonate,calcium carbonate,False,,,,IMERYS CARBONATES AUSTRIA GMBH Ebensee AT,imerys carbonates austria ebensee at,R1-CEP 2003-019 - Rev 03,AT,edqm_cep,api_cep,Valid,Chemical,salt-strip skipped (electrolyte): calcium carbonate
Calcium carbonate,calcium carbonate,False,,,,Merck KGaA Darmstadt DE,merck kgaa darmstadt de,R1-CEP 2003-228 - Rev 01,DE,edqm_cep,api_cep,Withdrawn by Holder,Chemical,salt-strip skipped (electrolyte): calcium carbonate
Calcium carbonate,calcium carbonate,False,,,,ALLEGRANZI MIKRONEVE S.A.S. DI ALLEGRANZI S.R.L. Cordignano IT,allegranzi mikroneve s di allegranzi s r l cordignano it,R1-CEP 2009-360 - Rev 02,IT,edqm_cep,api_cep,Valid,Chemical,salt-strip skipped (electrolyte): calcium carbonate
Calcium carbonate,calcium carbonate,False,,,,"J.M. HUBER MICROPOWDERS, INC. Atlanta US",j m huber micropowders atlanta us,R1-CEP 2004-091 - Rev 02,US,edqm_cep,api_cep,Valid,Chemical,salt-strip skipped (electrolyte): calcium carbonate
Calcium carbonate,calcium carbonate,False,,,,"Shanghai NuoCheng Pharmaceutical Co., Ltd. Shanghai CN",shanghai nuocheng shanghai cn,R1-CEP 2007-132 - Rev 01,CN,edqm_cep,api_cep,Valid,Chemical,salt-strip skipped (electrolyte): calcium carbonate
Calcium carbonate,calcium carbonate,False,,,,IMERYS CARBONATES USA INC. Roswell US,imerys carbonates usa roswell us,CEP 2018-214 - Rev 01,US,edqm_cep,api_cep,Valid,Chemical,salt-strip skipped (electrolyte): calcium carbonate
Calcium carbonate,calcium carbonate,False,,,,SUDEEP PHARMA LIMITED Vadodara IN,sudeep vadodara in,CEP 2013-299 - Rev 03,IN,edqm_cep,api_cep,Valid,Chemical,salt-strip skipped (electrolyte): calcium carbonate
Calcium carbonate,calcium carbonate,False,,,,SCORA Caffiers FR,scora caffiers fr,CEP 1997-065 - Rev 05,FR,edqm_cep,api_cep,Valid,Chemical,salt-strip skipped (electrolyte): calcium carbonate
"Calcium carbonate, Granular",calcium carbonate,False,,,,SUDEEP PHARMA LIMITED Vadodara IN,sudeep vadodara in,CEP 2020-379 - Rev 03,IN,edqm_cep,api_cep,Valid,Chemical,salt-strip skipped (electrolyte): calcium carbonate; dropped non-substance component 'granular'
"Calcium carbonate, Granular Grade II",calcium carbonate|granular grade ii,True,,,,SUDEEP PHARMA LIMITED Vadodara IN,sudeep vadodara in,CEP 2025-377 - Rev 00,IN,edqm_cep,api_cep,Valid,Chemical,salt-strip skipped (electrolyte): calcium carbonate; combination of 2
"Calcium carbonate, Micronised 18",calcium carbonate|micronised 18,True,,,,MINERARIA SACILESE S.P.A. Sacile IT,mineraria sacilese sacile it,CEP 2024-306 - Rev 00,IT,edqm_cep,api_cep,Valid,Chemical,salt-strip skipped (electrolyte): calcium carbonate; combination of 2
"Calcium carbonate, Micronised 30",calcium carbonate|micronised 30,True,,,,MINERARIA SACILESE S.P.A. Sacile IT,mineraria sacilese sacile it,CEP 2016-258 - Rev 01,IT,edqm_cep,api_cep,Valid,Chemical,salt-strip skipped (electrolyte): calcium carbonate; combination of 2
"Calcium carbonate, Sieved grade I (35)",calcium carbonate|sieved grade i,True,,,,OMYA SAS Omey FR,omya sas omey fr,CEP 2001-366 - Rev 05,FR,edqm_cep,api_cep,Valid,Chemical,salt-strip skipped (electrolyte): calcium carbonate; combination of 2
Calcium chloride dihydrate,calcium chloride,False,,,,"MACCO ORGANIQUES, S.R.O. Bruntál CZ",macco organiques s r o brunt l cz,R1-CEP 2006-263 - Rev 01,CZ,edqm_cep,api_cep,Valid,Chemical,stripped trailing 'dihydrate'
Calcium chloride dihydrate,calcium chloride,False,,,,CFL CHEMISCHE FABRIK LEHRTE GMBH & CO. KG Lehrte DE,cfl chemische fabrik lehrte kg lehrte de,CEP 2015-352 - Rev 02,DE,edqm_cep,api_cep,Valid,Chemical,stripped trailing 'dihydrate'
Calcium chloride dihydrate,calcium chloride,False,,,,Merck KGaA Darmstadt DE,merck kgaa darmstadt de,CEP 2007-356 - Rev 02,DE,edqm_cep,api_cep,Valid,Chemical,stripped trailing 'dihydrate'
Quinidine sulfate,quinidine,False,,,,BUCHLER GMBH Braunschweig DE,buchler braunschweig de,R1-CEP 2011-215 - Rev 02,DE,edqm_cep,api_cep,Valid,Chemical,stripped trailing 'sulfate'
Quinine hydrochloride dihydrate,quinine,False,,,,Vital Health Care Pvt Ltd Mumbai IN,vital health care mumbai in,R0-CEP 2005-114 - Rev 01,IN,edqm_cep,api_cep,Withdrawn by EDQM Failure to CEP procedure,Chemical,stripped trailing 'dihydrate'; stripped trailing 'hydrochloride'
Quinine hydrochloride dihydrate,quinine,False,,,,Arnold Suhr Qimpex Pte. Ltd. Singapore SG,arnold suhr qimpex pte singapore sg,R1-CEP 2003-164 - Rev 01,SG,edqm_cep,api_cep,Withdrawn by Holder,Chemical,stripped trailing 'dihydrate'; stripped trailing 'hydrochloride'
Quinine hydrochloride dihydrate,quinine,False,,,,AANJANEYA LIFECARE LIMITED Mumbai IN,aanjaneya lifecare mumbai in,R0-CEP 2010-069 - Rev 00,IN,edqm_cep,api_cep,Withdrawn by EDQM Failure to CEP procedure,Chemical,stripped trailing 'dihydrate'; stripped trailing 'hydrochloride'
"Quinine hydrochloride dihydrate, PT.SIL",pt sil|quinine,True,,,,PT. SINKONA INDONESIA LESTARI Subang ID,pt sinkona indonesia lestari subang id,CEP 2015-202 - Rev 01,ID,edqm_cep,api_cep,Valid,Chemical,stripped trailing 'dihydrate'; stripped trailing 'hydrochloride'; combination of 2
Quinine sulfate,quinine,False,,,,Vital Health Care Pvt Ltd Mumbai IN,vital health care mumbai in,R0-CEP 2005-117 - Rev 01,IN,edqm_cep,api_cep,Withdrawn by EDQM Failure to CEP procedure,Chemical,stripped trailing 'sulfate'
Quinine sulfate,quinine,False,,,,Arnold Suhr Qimpex Pte. Ltd. Singapore SG,arnold suhr qimpex pte singapore sg,R1-CEP 2003-168 - Rev 01,SG,edqm_cep,api_cep,Withdrawn by Holder,Chemical,stripped trailing 'sulfate'
Quinine sulfate,quinine,False,,,,AANJANEYA LIFECARE LIMITED Mumbai IN,aanjaneya lifecare mumbai in,R0-CEP 2009-387 - Rev 00,IN,edqm_cep,api_cep,Withdrawn by EDQM Failure to CEP procedure,Chemical,stripped trailing 'sulfate'
