"atc_code","n_countries","n_sites_total","hhi","effective_countries","source"
"A02BC05",1,1,10000,1,"EPAR"
"A10AB05",2,2,5000,2,"EPAR"
"B01AC04",3,4,3750,2.66666666666667,"EPAR"
"B01AE07",4,4,2500,4,"EPAR"
"B02BD02",5,7,2653.0612244898,3.76923076923077,"EPAR"
"C01BB02",1,1,10000,1,"EPAR"
"C01CA24",2,2,5000,2,"EPAR"
"H02AB09",1,3,10000,1,"EPAR"
"J01DF01",1,1,10000,1,"EPAR"
"J01DH56",1,1,10000,1,"EPAR"
"J01GB01",2,2,5000,2,"EPAR"
"J02AC04",7,8,1562.5,6.4,"EPAR"
"J04AK05",1,1,10000,1,"EPAR"
"J05AF06",2,2,5000,2,"EPAR"
"J05AG01",3,3,3333.33333333333,3,"EPAR"
"J05AR02",1,1,10000,1,"EPAR"
"J06BA01",1,1,10000,1,"EPAR"
"J06BB04",1,1,10000,1,"EPAR"
"J07AH09",1,1,10000,1,"EPAR"
"J07BA02",1,2,10000,1,"EPAR"
"J07BB02",4,4,2500,4,"EPAR"
"J07BC01",1,1,10000,1,"EPAR"
"J07BH02",1,1,10000,1,"EPAR"
"J07BM03",2,2,5000,2,"EPAR"
"L01AB02",1,1,10000,1,"EPAR"
"L01AC01",1,1,10000,1,"EPAR"
"L01CD01",2,4,6250,1.6,"EPAR"
"L01CE01",4,5,2800,3.57142857142857,"EPAR"
"L01DB01",2,2,5000,2,"EPAR"
"L01EA03",3,4,3750,2.66666666666667,"EPAR"
"L01EC02",3,4,3750,2.66666666666667,"EPAR"
"L01EE01",4,6,2777.77777777778,3.6,"EPAR"
"L01EL01",2,2,5000,2,"EPAR"
"L01FA03",2,2,5000,2,"EPAR"
"L01FB01",1,1,10000,1,"EPAR"
"L01FC01",4,4,2500,4,"EPAR"
"L01FF01",1,1,10000,1,"EPAR"
"L01FF02",5,6,2222.22222222222,4.5,"EPAR"
"L01FX05",3,3,3333.33333333333,3,"EPAR"
"L01XX05",3,3,3333.33333333333,3,"EPAR"
"L01XX23",2,2,5000,2,"EPAR"
"L01XX24",1,1,10000,1,"EPAR"
"L04AC02",1,1,10000,1,"EPAR"
"L04AC03",2,2,5000,2,"EPAR"
"L04AH01",3,3,3333.33333333333,3,"EPAR"
"N03AG04",1,3,10000,1,"EPAR"
"N05AH03",6,9,2592.59259259259,3.85714285714286,"EPAR"
"N05CM18",1,1,10000,1,"EPAR"
"V03AB17",1,1,10000,1,"EPAR"
"V03AB33",2,3,5555.55555555556,1.8,"EPAR"
"V03AB35",3,5,3600,2.77777777777778,"EPAR"
"A02BC05",10,56,2570.15306122449,3.8908188585608,"Germany"
"A03BA01",4,6,2777.77777777778,3.6,"Germany"
"A03FA01",3,7,3877.55102040816,2.57894736842105,"Germany"
"A07AA12",2,4,6250,1.6,"Germany"
"A07BA01",3,15,7600,1.31578947368421,"Germany"
"A10AB01",1,3,10000,1,"Germany"
"A10AB05",7,24,4687.5,2.13333333333333,"Germany"
"A10AC01",5,20,5800,1.72413793103448,"Germany"
"A10AD01",4,19,5069.25207756233,1.97267759562842,"Germany"
"A10AE06",2,2,5000,2,"Germany"
"A11GA01",1,1,10000,1,"Germany"
"A12CC02",2,2,5000,2,"Germany"
"A16AB02",4,6,2777.77777777778,3.6,"Germany"
"B01AA03",1,1,10000,1,"Germany"
"B01AB01",5,8,2500,4,"Germany"
"B01AB02",5,10,2200,4.54545454545454,"Germany"
"B01AC04",5,32,4726.5625,2.11570247933884,"Germany"
"B01AC16",1,1,10000,1,"Germany"
"B01AD02",2,5,6800,1.47058823529412,"Germany"
"B01AD11",2,4,6250,1.6,"Germany"
"B01AE07",5,13,4201.18343195266,2.38028169014085,"Germany"
"B02AA02",5,10,2400,4.16666666666667,"Germany"
"B02BA01",3,11,6859.5041322314,1.4578313253012,"Germany"
"B02BB01",6,9,2098.76543209877,4.76470588235294,"Germany"
"B02BD01",5,8,2500,4,"Germany"
"B02BD02",7,16,2109.375,4.74074074074074,"Germany"
"B02BD03",2,4,6250,1.6,"Germany"
"B02BD04",4,6,2777.77777777778,3.6,"Germany"
"B02BD05",1,2,10000,1,"Germany"
"B02BD07",1,2,10000,1,"Germany"
"B02BD08",4,4,2500,4,"Germany"
"B03BA03",1,1,10000,1,"Germany"
"B05AA01",10,20,1350,7.4074074074074,"Germany"
"B05AA02",1,1,10000,1,"Germany"
"B05BB01",10,25,2672,3.74251497005988,"Germany"
"B05BC01",2,12,8472.22222222222,1.18032786885246,"Germany"
"B05XA01",2,3,5555.55555555556,1.8,"Germany"
"B06AC01",2,2,5000,2,"Germany"
"C01AA05",3,4,3750,2.66666666666667,"Germany"
"C01BB01",4,8,2812.5,3.55555555555556,"Germany"
"C01BB02",3,4,3750,2.66666666666667,"Germany"
"C01BC04",6,12,2500,4,"Germany"
"C01BD01",5,23,2400.7561436673,4.16535433070866,"Germany"
"C01CA02",2,2,5000,2,"Germany"
"C01CA03",5,11,2561.98347107438,3.90322580645161,"Germany"
"C01CA04",2,3,5555.55555555556,1.8,"Germany"
"C01CA07",3,6,3888.88888888889,2.57142857142857,"Germany"
"C01CA24",5,13,4201.18343195266,2.38028169014084,"Germany"
"C01CA26",1,2,10000,1,"Germany"
"C01CE02",6,8,1875,5.33333333333333,"Germany"
"C01DA02",1,2,10000,1,"Germany"
"C01EB10",6,10,2000,5,"Germany"
"C02AB01",4,6,3333.33333333333,3,"Germany"
"C02AC01",3,7,4285.71428571429,2.33333333333333,"Germany"
"C02DD01",3,3,3333.33333333333,3,"Germany"
"C03CA01",4,19,3019.39058171745,3.31192660550459,"Germany"
"C07AA05",4,6,3333.33333333333,3,"Germany"
"C08CA06",3,4,3750,2.66666666666667,"Germany"
"C08DA01",4,7,2653.0612244898,3.76923076923077,"Germany"
"D10AX05",1,1,10000,1,"Germany"
"G02AB01",2,6,5555.55555555556,1.8,"Germany"
"G03XB01",2,3,5555.55555555556,1.8,"Germany"
"H01BA01",2,2,5000,2,"Germany"
"H01BA02",5,12,2361.11111111111,4.23529411764706,"Germany"
"H01BB02",2,2,5000,2,"Germany"
"H01BB03",4,4,2500,4,"Germany"
"H02AA02",3,6,5000,2,"Germany"
"H02AB04",7,18,1851.85185185185,5.4,"Germany"
"H02AB06",7,20,2450,4.08163265306123,"Germany"
"H02AB09",7,15,2711.11111111111,3.68852459016393,"Germany"
"H03BA02",2,3,5555.55555555556,1.8,"Germany"
"H03BB01",2,3,5555.55555555556,1.8,"Germany"
"H03BB02",1,3,10000,1,"Germany"
"H04AA01",1,3,10000,1,"Germany"
"J01XD01",2,2,5000,2,"Germany"
"J02AA01",3,4,3750,2.66666666666667,"Germany"
"J02AC01",5,20,3550,2.8169014084507,"Germany"
"J02AC04",3,13,4556.21301775148,2.19480519480519,"Germany"
"J02AC05",5,8,3125,3.2,"Germany"
"J04AB02",1,2,10000,1,"Germany"
"J04AB04",1,1,10000,1,"Germany"
"J04AC01",2,3,5555.55555555556,1.8,"Germany"
"J04AK01",1,2,10000,1,"Germany"
"J04AK02",2,3,5555.55555555556,1.8,"Germany"
"J04AK05",2,3,5555.55555555556,1.8,"Germany"
"J05AB01",7,29,2390.01189060642,4.18407960199005,"Germany"
"J05AB06",3,4,3750,2.66666666666667,"Germany"
"J05AB14",6,23,3421.55009451796,2.92265193370166,"Germany"
"J05AD01",4,4,2500,4,"Germany"
"J05AF01",5,7,2653.0612244898,3.76923076923077,"Germany"
"J05AF05",2,5,6800,1.47058823529412,"Germany"
"J05AF06",1,1,10000,1,"Germany"
"J05AF09",2,9,8024.69135802469,1.24615384615385,"Germany"
"J05AG01",3,7,4285.71428571429,2.33333333333333,"Germany"
"J05AR02",3,19,5789.47368421053,1.72727272727273,"Germany"
"J06BA01",5,8,2187.5,4.57142857142857,"Germany"
"J06BA02",8,16,1406.25,7.11111111111111,"Germany"
"J06BB01",2,2,5000,2,"Germany"
"J06BB02",1,1,10000,1,"Germany"
"J06BB04",2,4,5000,2,"Germany"
"J06BB05",1,1,10000,1,"Germany"
"J07AE01",2,8,7812.5,1.28,"Germany"
"J07AH07",5,7,2244.89795918367,4.45454545454546,"Germany"
"J07AH09",10,33,3645.5463728191,2.74307304785894,"Germany"
"J07AJ52",4,7,3061.22448979592,3.26666666666667,"Germany"
"J07AM51",3,6,5000,2,"Germany"
"J07AP03",2,2,5000,2,"Germany"
"J07BA02",3,7,5510.20408163265,1.81481481481481,"Germany"
"J07BB01",2,2,5000,2,"Germany"
"J07BB02",4,8,2812.5,3.55555555555556,"Germany"
"J07BC01",3,4,3750,2.66666666666667,"Germany"
"J07BC02",5,6,2222.22222222222,4.5,"Germany"
"J07BC20",6,28,5306.12244897959,1.88461538461538,"Germany"
"J07BD52",2,2,5000,2,"Germany"
"J07BD54",2,2,5000,2,"Germany"
"J07BF03",3,5,3600,2.77777777777778,"Germany"
"J07BG01",4,8,3437.5,2.90909090909091,"Germany"
"J07BH02",5,14,3877.55102040816,2.57894736842105,"Germany"
"J07BK01",2,2,5000,2,"Germany"
"J07BL01",2,2,5000,2,"Germany"
"J07BM01",2,16,7812.5,1.28,"Germany"
"J07BM02",7,18,4629.62962962963,2.16,"Germany"
"J07BM03",5,27,3799.7256515775,2.63176895306859,"Germany"
"J07CA01",2,3,5555.55555555556,1.8,"Germany"
"J07CA02",3,5,3600,2.77777777777778,"Germany"
"J07CA06",3,7,3469.38775510204,2.88235294117647,"Germany"
"L01AA01",3,5,3600,2.77777777777778,"Germany"
"L01AA02",4,5,2800,3.57142857142857,"Germany"
"L01AA03",4,14,3571.42857142857,2.8,"Germany"
"L01AA06",3,5,4400,2.27272727272727,"Germany"
"L01AB01",4,6,2777.77777777778,3.6,"Germany"
