atc_code,mfr_company,mfr_country,manufacturer_step,source,level1_code,level1_name
J06BB04,Biotest AG,Germany,1,ema,J,Antiinfectives (systemic)
J06BB04,Biotest Pharma GmbH,Germany,2,ema,J,Antiinfectives (systemic)
V03AB35,Viatris Santé,France,2,ema,V,Various
V03AB35,Eurofins BioPharma Product testing Budapest Kft,Hungary,2,ema,V,Various
V03AB35,Viatris Germany GmbH,Germany,2,ema,V,Various
J02AC04,Delorbis Pharmaceuticals Ltd.,Cyprus,2,ema,J,Antiinfectives (systemic)
J02AC04,Laboratori Fundacio Dau,Spain,2,ema,J,Antiinfectives (systemic)
J02AC04,"Accord Healthcare B.V.,",Netherlands,2,ema,J,Antiinfectives (systemic)
J02AC04,Pharmadox Healthcare Ltd.,Malta,2,ema,J,Antiinfectives (systemic)
J02AC04,"Accord Healthcare Polska Sp.z o.o.,",Poland,2,ema,J,Antiinfectives (systemic)
J02AC04,Accord Healthcare Single Member S.A.,Greece,2,ema,J,Antiinfectives (systemic)
L04AC03,Boehringer Ingelheim RCV GmbH & Co KG,Austria,1,ema,L,Antineoplastic & immunomodulating
L04AC03,Pfizer Health AB,Sweden,1,ema,L,Antineoplastic & immunomodulating
L04AC03,Swedish Orphan Biovitrum AB (publ),Sweden,2,ema,L,Antineoplastic & immunomodulating
H02AB09,Skyepharma Production S.A.S,France,2,ema,H,Systemic hormonal preparations
J06BA01,Baxalta Belgium Manufacturing SA,Belgium,1,ema,J,Antiinfectives (systemic)
L04AH01,Pfizer Service Company BV,Belgium,2,ema,L,Antineoplastic & immunomodulating
L04AH01,Pfizer Ireland Pharmaceuticals Unlimited Company,Ireland,2,ema,L,Antineoplastic & immunomodulating
L04AH01,Pfizer Manufacturing Deutschland GmbH,Germany,2,ema,L,Antineoplastic & immunomodulating
C01BB02,Hormosan Pharma GmbH,Germany,2,ema,C,Cardiovascular system
J04AK05,Janssen Pharmaceutica NV,Belgium,2,ema,J,Antiinfectives (systemic)
A02BC05,Haleon Italy Manufacturing S.r.l.,Italy,2,ema,A,Alimentary tract & metabolism
L01CD01,Merckle GmbH,Germany,2,ema,L,Antineoplastic & immunomodulating
L01CD01,Pharmachemie B.V.,Netherlands,2,ema,L,Antineoplastic & immunomodulating
L01CD01,Teva Nederland B.V. (additional entity),Netherlands,2,ema,L,Antineoplastic & immunomodulating
L01FF01,Swords Laboratories Unlimited Company t/a Bristol-Myers Squibb Cruiserath Biologics,Ireland,1,ema,L,Antineoplastic & immunomodulating
C01CA24,ALK-Abelló A/S,Denmark,2,ema,C,Cardiovascular system
C01CA24,ALK-Abelló S.A.,Spain,2,ema,C,Cardiovascular system
J07AH09,Pfizer Health AB,Sweden,1,ema,J,Antiinfectives (systemic)
J07AH09,Pfizer Manufacturing Belgium NV,Belgium,2,ema,J,Antiinfectives (systemic)
L01EE01,Lek Pharmaceuticals d.d.,Slovenia,2,ema,L,Antineoplastic & immunomodulating
