,medicine_name,active_substance,atc_code,medicine_url,pdf_url,source_block,manufacturer_name,address,country,manufacturer_step
1,Zutectra,human hepatitis B immunoglobulin,J06BB04,https://www.ema.europa.eu/en/medicines/human/EPAR/zutectra,https://www.ema.europa.eu/en/documents/product-information/zutectra-epar-product-information_en.pdf,"A. MANUFACTURER OF THE BIOLOGICAL ACTIVE SUBSTANCE AND
MANUFACTURER RESPONSIBLE FOR BATCH RELEASE
Name and address of the manufacturer of the biological active substance
Biotest AG
Landsteinerstr. 5
D-63303 Dreieich
Germany
Name and address of the manufacturer responsible for batch release
Biotest Pharma GmbH
Landsteinerstrasse 5
D-63303 Dreieich
Germany",Biotest AG,"Landsteinerstr. 5
D-63303 Dreieich
Germany",Germany,1
2,Zutectra,human hepatitis B immunoglobulin,J06BB04,https://www.ema.europa.eu/en/medicines/human/EPAR/zutectra,https://www.ema.europa.eu/en/documents/product-information/zutectra-epar-product-information_en.pdf,"A. MANUFACTURER OF THE BIOLOGICAL ACTIVE SUBSTANCE AND
MANUFACTURER RESPONSIBLE FOR BATCH RELEASE
Name and address of the manufacturer of the biological active substance
Biotest AG
Landsteinerstr. 5
D-63303 Dreieich
Germany
Name and address of the manufacturer responsible for batch release
Biotest Pharma GmbH
Landsteinerstrasse 5
D-63303 Dreieich
Germany",Biotest Pharma GmbH,"Landsteinerstrasse 5
D-63303 Dreieich
Germany",Germany,2
3,Sugammadex Mylan,,V03AB35,https://www.ema.europa.eu/en/medicines/human/EPAR/sugammadex-mylan,https://www.ema.europa.eu/en/documents/product-information/sugammadex-mylan-epar-product-information_en.pdf,"A. MANUFACTURER RESPONSIBLE FOR BATCH RELEASE
Name and address of the manufacturer responsible for batch release
Viatris Santé
1 rue de Turin
69007 Lyon
France
Eurofins BioPharma Product testing Budapest Kft
Anonymus Utca 6, Kerulet,
Budapest IV, 1045
Hungary
Viatris Germany GmbH
Benzstrasse 1
Bad Homburg
Hesse
61352
Germany",Viatris Santé,"1 rue de Turin
69007 Lyon
France",France,2
4,Sugammadex Mylan,sugammadex sodium,V03AB35,https://www.ema.europa.eu/en/medicines/human/EPAR/sugammadex-mylan,https://www.ema.europa.eu/en/documents/product-information/sugammadex-mylan-epar-product-information_en.pdf,"A. MANUFACTURER RESPONSIBLE FOR BATCH RELEASE
Name and address of the manufacturer responsible for batch release
Viatris Santé
1 rue de Turin
69007 Lyon
France
Eurofins BioPharma Product testing Budapest Kft
Anonymus Utca 6, Kerulet,
Budapest IV, 1045
Hungary
Viatris Germany GmbH
Benzstrasse 1
Bad Homburg
Hesse
61352
Germany",Eurofins BioPharma Product testing Budapest Kft,"Anonymus Utca 6, Kerulet,
Budapest IV, 1045
Hungary",Hungary,2
5,Sugammadex Mylan,sugammadex sodium,V03AB35,https://www.ema.europa.eu/en/medicines/human/EPAR/sugammadex-mylan,https://www.ema.europa.eu/en/documents/product-information/sugammadex-mylan-epar-product-information_en.pdf,"A. MANUFACTURER RESPONSIBLE FOR BATCH RELEASE
Name and address of the manufacturer responsible for batch release
Viatris Santé
1 rue de Turin
69007 Lyon
France
Eurofins BioPharma Product testing Budapest Kft
Anonymus Utca 6, Kerulet,
Budapest IV, 1045
Hungary
Viatris Germany GmbH
Benzstrasse 1
Bad Homburg
Hesse
61352
Germany",Viatris Germany GmbH,"Benzstrasse 1
Bad Homburg
Hesse
61352
Germany",Germany,2
6,Posaconazole Accord,posaconazole,J02AC04,https://www.ema.europa.eu/en/medicines/human/EPAR/posaconazole-accord,https://www.ema.europa.eu/en/documents/product-information/posaconazole-accord-epar-product-information_en.pdf,"A. MANUFACTURERS RESPONSIBLE FOR BATCH RELEASE
Name and address of the manufacturers responsible for batch release
Delorbis Pharmaceuticals Ltd.
17, Athinon Street
Ergates Industrial Area
2643 Nicosia
CYPRUS
Laboratori Fundacio Dau
C/ C, 12-14 Pol. Ind. Zona Franca
08040 Barcelona
SPAIN
Accord Healthcare B.V.,
Winthontlaan 200,
3526 KV Utrecht,
THE NETHERLANDS
Pharmadox Healthcare Ltd.
KW20A Kordin Industrial Park
Paola, PLA 3000
MALTA
Accord Healthcare Polska Sp.z o.o.,
ul. Lutomierska 50,95-200 Pabianice, POLAND
Accord Healthcare Single Member S.A.
64th Km National Road Athens,Lamia,
Schimatari, 32009,
GREECE",Delorbis Pharmaceuticals Ltd.,"17, Athinon Street
Ergates Industrial Area
2643 Nicosia
CYPRUS",Cyprus,2
7,Posaconazole Accord,posaconazole,J02AC04,https://www.ema.europa.eu/en/medicines/human/EPAR/posaconazole-accord,https://www.ema.europa.eu/en/documents/product-information/posaconazole-accord-epar-product-information_en.pdf,"A. MANUFACTURERS RESPONSIBLE FOR BATCH RELEASE
Name and address of the manufacturers responsible for batch release
Delorbis Pharmaceuticals Ltd.
17, Athinon Street
Ergates Industrial Area
2643 Nicosia
CYPRUS
Laboratori Fundacio Dau
C/ C, 12-14 Pol. Ind. Zona Franca
08040 Barcelona
SPAIN
Accord Healthcare B.V.,
Winthontlaan 200,
3526 KV Utrecht,
THE NETHERLANDS
Pharmadox Healthcare Ltd.
KW20A Kordin Industrial Park
Paola, PLA 3000
MALTA
Accord Healthcare Polska Sp.z o.o.,
ul. Lutomierska 50,95-200 Pabianice, POLAND
Accord Healthcare Single Member S.A.
64th Km National Road Athens,Lamia,
Schimatari, 32009,
GREECE",Laboratori Fundacio Dau,"C/ C, 12-14 Pol. Ind. Zona Franca
08040 Barcelona
SPAIN",Spain,2
8,Posaconazole Accord,posaconazole,J02AC04,https://www.ema.europa.eu/en/medicines/human/EPAR/posaconazole-accord,https://www.ema.europa.eu/en/documents/product-information/posaconazole-accord-epar-product-information_en.pdf,"A. MANUFACTURERS RESPONSIBLE FOR BATCH RELEASE
Name and address of the manufacturers responsible for batch release
Delorbis Pharmaceuticals Ltd.
17, Athinon Street
Ergates Industrial Area
2643 Nicosia
CYPRUS
Laboratori Fundacio Dau
C/ C, 12-14 Pol. Ind. Zona Franca
08040 Barcelona
SPAIN
Accord Healthcare B.V.,
Winthontlaan 200,
3526 KV Utrecht,
THE NETHERLANDS
Pharmadox Healthcare Ltd.
KW20A Kordin Industrial Park
Paola, PLA 3000
MALTA
Accord Healthcare Polska Sp.z o.o.,
ul. Lutomierska 50,95-200 Pabianice, POLAND
Accord Healthcare Single Member S.A.
64th Km National Road Athens,Lamia,
Schimatari, 32009,
GREECE","Accord Healthcare B.V.,","Winthontlaan 200,
3526 KV Utrecht,
THE NETHERLANDS",Netherlands,2
9,Posaconazole Accord,posaconazole,J02AC04,https://www.ema.europa.eu/en/medicines/human/EPAR/posaconazole-accord,https://www.ema.europa.eu/en/documents/product-information/posaconazole-accord-epar-product-information_en.pdf,"A. MANUFACTURERS RESPONSIBLE FOR BATCH RELEASE
Name and address of the manufacturers responsible for batch release
Delorbis Pharmaceuticals Ltd.
17, Athinon Street
Ergates Industrial Area
2643 Nicosia
CYPRUS
Laboratori Fundacio Dau
C/ C, 12-14 Pol. Ind. Zona Franca
08040 Barcelona
SPAIN
Accord Healthcare B.V.,
Winthontlaan 200,
3526 KV Utrecht,
THE NETHERLANDS
Pharmadox Healthcare Ltd.
KW20A Kordin Industrial Park
Paola, PLA 3000
MALTA
Accord Healthcare Polska Sp.z o.o.,
ul. Lutomierska 50,95-200 Pabianice, POLAND
Accord Healthcare Single Member S.A.
64th Km National Road Athens,Lamia,
Schimatari, 32009,
GREECE",Pharmadox Healthcare Ltd.,"KW20A Kordin Industrial Park
Paola, PLA 3000
MALTA",Malta,2
10,Posaconazole Accord,posaconazole,J02AC04,https://www.ema.europa.eu/en/medicines/human/EPAR/posaconazole-accord,https://www.ema.europa.eu/en/documents/product-information/posaconazole-accord-epar-product-information_en.pdf,"A. MANUFACTURERS RESPONSIBLE FOR BATCH RELEASE
Name and address of the manufacturers responsible for batch release
Delorbis Pharmaceuticals Ltd.
17, Athinon Street
Ergates Industrial Area
2643 Nicosia
CYPRUS
Laboratori Fundacio Dau
C/ C, 12-14 Pol. Ind. Zona Franca
08040 Barcelona
SPAIN
Accord Healthcare B.V.,
Winthontlaan 200,
3526 KV Utrecht,
THE NETHERLANDS
Pharmadox Healthcare Ltd.
KW20A Kordin Industrial Park
Paola, PLA 3000
MALTA
Accord Healthcare Polska Sp.z o.o.,
ul. Lutomierska 50,95-200 Pabianice, POLAND
Accord Healthcare Single Member S.A.
64th Km National Road Athens,Lamia,
Schimatari, 32009,
GREECE","Accord Healthcare Polska Sp.z o.o.,","ul. Lutomierska 50,95-200 Pabianice, POLAND",Poland,2
