search_atc,atc_code,atc_text,eingangsnummer,arzneimittel,role,name,pu_nummer,plz_ort,land
A02BC05,A02BC05,Esomeprazol,2181476,Esogasec 20 mg magensaftresistente Hartkapseln,Zulassungsinhaber,Aristo Pharma GmbH,3082323,13435 Berlin,Deutschland
A02BC05,A02BC05,Esomeprazol,2181476,Esogasec 20 mg magensaftresistente Hartkapseln,Hersteller/Endfreigabe,Laboratorios Medicamentos Internacionales S.A.,8034292,"28850 TORREJON DE ARDOZ, MADRID",Spanien
A02BC05,A02BC05,Esomeprazol,2181476,Esogasec 20 mg magensaftresistente Hartkapseln,Wirkstoffherstellung,AstraZeneca Dunkerque Production Rechtsform: S.C.S.,8026677,59640 DUNKERQUE,Frankreich
A02BC05,A02BC05,Esomeprazol,2181476,Esogasec 20 mg magensaftresistente Hartkapseln,Wirkstoffherstellung,Shouguang Fukang Pharmaceutical Co. Ltd. (BS 1),8142998,"262700 SHOUGUANG CITY, SHANDONG PROVINCE",China
A02BC05,A02BC05,Esomeprazol,2181476,Esogasec 20 mg magensaftresistente Hartkapseln,Wirkstoffherstellung,"IMS S.R.L. Beiname: Micronizzazioni, IMS Intermedi Medicinali Sintetici S.r.l.",8078697,20157 MILANO,Italien
A02BC05,A02BC05,Esomeprazol,2181476,Esogasec 20 mg magensaftresistente Hartkapseln,Wirkstoffherstellung,Catalent Micron Technologies Limited (BS 1),1007539,"DA2 6QY CROSSWAYS, DARTFORD",Vereinigtes Königreich
A02BC05,A02BC05,Esomeprazol,2181476,Esogasec 20 mg magensaftresistente Hartkapseln,Wirkstoffherstellung,Minakem Dunkerque Production (BS 1),8177583,59640 DUNKERQUE,Frankreich
A02BC05,A02BC05,Esomeprazol,2181477,Esogasec 40 mg magensaftresistente Hartkapseln,Zulassungsinhaber,Aristo Pharma GmbH,3082323,13435 Berlin,Deutschland
A02BC05,A02BC05,Esomeprazol,2181477,Esogasec 40 mg magensaftresistente Hartkapseln,Hersteller/Endfreigabe,Laboratorios Medicamentos Internacionales S.A.,8034292,"28850 TORREJON DE ARDOZ, MADRID",Spanien
A02BC05,A02BC05,Esomeprazol,2181477,Esogasec 40 mg magensaftresistente Hartkapseln,Wirkstoffherstellung,AstraZeneca Dunkerque Production Rechtsform: S.C.S.,8026677,59640 DUNKERQUE,Frankreich
A02BC05,A02BC05,Esomeprazol,2181477,Esogasec 40 mg magensaftresistente Hartkapseln,Wirkstoffherstellung,Shouguang Fukang Pharmaceutical Co. Ltd. (BS 1),8142998,"262700 SHOUGUANG CITY, SHANDONG PROVINCE",China
A02BC05,A02BC05,Esomeprazol,2181477,Esogasec 40 mg magensaftresistente Hartkapseln,Wirkstoffherstellung,Minakem Dunkerque Production (BS 1),8177583,59640 DUNKERQUE,Frankreich
A02BC05,A02BC05,Esomeprazol,2181477,Esogasec 40 mg magensaftresistente Hartkapseln,Wirkstoffherstellung,Catalent Micron Technologies Limited (BS 1),1007539,"DA2 6QY CROSSWAYS, DARTFORD",Vereinigtes Königreich
A02BC05,A02BC05,Esomeprazol,2181477,Esogasec 40 mg magensaftresistente Hartkapseln,Wirkstoffherstellung,"IMS S.R.L. Beiname: Micronizzazioni, IMS Intermedi Medicinali Sintetici S.r.l.",8078697,20157 MILANO,Italien
A02BC05,A02BC05,Esomeprazol,7015297,Esomeaxiro 20 mg magensaftresistente Tabletten,Zulassungsinhaber,"Medical Valley Invest AB HR-Beiname: AXiromed, Xiromed",8160803,236 32 HÖLLVIKEN,Schweden
A02BC05,A02BC05,Esomeprazol,7015297,Esomeaxiro 20 mg magensaftresistente Tabletten,Hersteller/Endfreigabe,Laboratorios Liconsa S.A. (BS 1),8102668,19200 AZUQUECA DE HENARES (GUADALAJARA),Spanien
A02BC05,A02BC05,Esomeprazol,7015297,Esomeaxiro 20 mg magensaftresistente Tabletten,Hersteller/Endfreigabe,Laboratorios Liconsa S.A.,8039094,"28805 ALCALA DE HENARES, MADRID",Spanien
A02BC05,A02BC05,Esomeprazol,7015297,Esomeaxiro 20 mg magensaftresistente Tabletten,Wirkstoffherstellung,Nosch Labs Private Limited (BS 3),8192312,"508114 VELIMINEDU, CHITYAL MANDAL, NALGONDA DISTRICT, TELANGANA",Indien
A02BC05,A02BC05,Esomeprazol,7015298,Esomeaxiro 40 mg magensaftresistente Tabletten,Zulassungsinhaber,"Medical Valley Invest AB HR-Beiname: AXiromed, Xiromed",8160803,236 32 HÖLLVIKEN,Schweden
A02BC05,A02BC05,Esomeprazol,7015298,Esomeaxiro 40 mg magensaftresistente Tabletten,Hersteller/Endfreigabe,Laboratorios Liconsa S.A. (BS 1),8102668,19200 AZUQUECA DE HENARES (GUADALAJARA),Spanien
A02BC05,A02BC05,Esomeprazol,7015298,Esomeaxiro 40 mg magensaftresistente Tabletten,Hersteller/Endfreigabe,Laboratorios Liconsa S.A.,8039094,"28805 ALCALA DE HENARES, MADRID",Spanien
A02BC05,A02BC05,Esomeprazol,7015298,Esomeaxiro 40 mg magensaftresistente Tabletten,Wirkstoffherstellung,Nosch Labs Private Limited (BS 3),8192312,"508114 VELIMINEDU, CHITYAL MANDAL, NALGONDA DISTRICT, TELANGANA",Indien
A02BC05,A02BC05,Esomeprazol,2181162,ESOMEP 20 mg magensaftresistente Hartkapseln,Zulassungsinhaber,H e x a l Aktiengesellschaft,3079284,83607 Holzkirchen,Deutschland
A02BC05,A02BC05,Esomeprazol,2181162,ESOMEP 20 mg magensaftresistente Hartkapseln,Hersteller/Endfreigabe,"Lek farmacevtska druzba d.d. Beiname: Lek Pharmaceuticals d.d., Lek d.d.",3217237,1526 LJUBLJANA,Slowenien
A02BC05,A02BC05,Esomeprazol,2181162,ESOMEP 20 mg magensaftresistente Hartkapseln,Hersteller/Endfreigabe,"KRKA, d.d., Novo mesto HR-Beiname: KRKA, tovarna zdravil, d.d., Novo mesto",3328333,8501 NOVO MESTO,Slowenien
A02BC05,A02BC05,Esomeprazol,2181162,ESOMEP 20 mg magensaftresistente Hartkapseln,Hersteller/Endfreigabe,Salutas Pharma GmbH,4238135,39179 Barleben,Deutschland
A02BC05,A02BC05,Esomeprazol,2181162,ESOMEP 20 mg magensaftresistente Hartkapseln,Wirkstoffherstellung,Alivus Life Sciences Limited (BS 1),8083913,"393002 BHARUCH DISTRICT, ANKLESHWAR, GUJARAT",Indien
A02BC05,A02BC05,Esomeprazol,2181162,ESOMEP 20 mg magensaftresistente Hartkapseln,Wirkstoffherstellung,Laurus Labs Limited (BS 3),8160909,"531021 JAWAHARLAL NEHRU PHARMA CITY, PARAWADA MANDAL, ANAKAPALLI, ANDHRA PRADESH",Indien
A02BC05,A02BC05,Esomeprazol,2181162,ESOMEP 20 mg magensaftresistente Hartkapseln,Wirkstoffherstellung,"KRKA, d.d., Novo mesto HR-Beiname: KRKA, tovarna zdravil, d.d., Novo mesto",3328333,8501 NOVO MESTO,Slowenien
A02BC05,A02BC05,Esomeprazol,2181162,ESOMEP 20 mg magensaftresistente Hartkapseln,Wirkstoffherstellung,Sandoz Pharmaceuticals GmbH,3060764,83607 Holzkirchen,Deutschland
A02BC05,A02BC05,Esomeprazol,2195589,ESOMEP 20 mg magensaftresistente Hartkapseln,Zulassungsinhaber,H e x a l Aktiengesellschaft,3079284,83607 Holzkirchen,Deutschland
A02BC05,A02BC05,Esomeprazol,2195589,ESOMEP 20 mg magensaftresistente Hartkapseln,Hersteller/Endfreigabe,"Lek farmacevtska druzba d.d. Beiname: Lek Pharmaceuticals d.d., Lek d.d.",3217237,1526 LJUBLJANA,Slowenien
A02BC05,A02BC05,Esomeprazol,2195589,ESOMEP 20 mg magensaftresistente Hartkapseln,Hersteller/Endfreigabe,Towa Pharmaceutical Europe S.L.,8190655,"08107 MARTORELLES, BARCELONA",Spanien
A02BC05,A02BC05,Esomeprazol,2195589,ESOMEP 20 mg magensaftresistente Hartkapseln,Hersteller/Endfreigabe,Towa Pharmaceutical Europe S.L.,8190655,"08107 MARTORELLES, BARCELONA",Spanien
A02BC05,A02BC05,Esomeprazol,2195589,ESOMEP 20 mg magensaftresistente Hartkapseln,Wirkstoffherstellung,Shouguang Fukang Pharmaceutical Co. Ltd. (BS 1),8142998,"262700 SHOUGUANG CITY, SHANDONG PROVINCE",China
A02BC05,A02BC05,Esomeprazol,2195590,ESOMEP 40 mg magensaftresistente Hartkapseln,Zulassungsinhaber,H e x a l Aktiengesellschaft,3079284,83607 Holzkirchen,Deutschland
A02BC05,A02BC05,Esomeprazol,2195590,ESOMEP 40 mg magensaftresistente Hartkapseln,Hersteller/Endfreigabe,"Lek farmacevtska druzba d.d. Beiname: Lek Pharmaceuticals d.d., Lek d.d.",3217237,1526 LJUBLJANA,Slowenien
A02BC05,A02BC05,Esomeprazol,2195590,ESOMEP 40 mg magensaftresistente Hartkapseln,Hersteller/Endfreigabe,Towa Pharmaceutical Europe S.L.,8190655,"08107 MARTORELLES, BARCELONA",Spanien
A02BC05,A02BC05,Esomeprazol,2195590,ESOMEP 40 mg magensaftresistente Hartkapseln,Hersteller/Endfreigabe,Towa Pharmaceutical Europe S.L.,8190655,"08107 MARTORELLES, BARCELONA",Spanien
A02BC05,A02BC05,Esomeprazol,2195590,ESOMEP 40 mg magensaftresistente Hartkapseln,Wirkstoffherstellung,Shouguang Fukang Pharmaceutical Co. Ltd. (BS 1),8142998,"262700 SHOUGUANG CITY, SHANDONG PROVINCE",China
A02BC05,A02BC05,Esomeprazol,2181163,ESOMEP 40 mg magensaftresistente Hartkapseln,Zulassungsinhaber,H e x a l Aktiengesellschaft,3079284,83607 Holzkirchen,Deutschland
A02BC05,A02BC05,Esomeprazol,2181163,ESOMEP 40 mg magensaftresistente Hartkapseln,Hersteller/Endfreigabe,"Lek farmacevtska druzba d.d. Beiname: Lek Pharmaceuticals d.d., Lek d.d.",3217237,1526 LJUBLJANA,Slowenien
A02BC05,A02BC05,Esomeprazol,2181163,ESOMEP 40 mg magensaftresistente Hartkapseln,Hersteller/Endfreigabe,Salutas Pharma GmbH,4238135,39179 Barleben,Deutschland
A02BC05,A02BC05,Esomeprazol,2181163,ESOMEP 40 mg magensaftresistente Hartkapseln,Hersteller/Endfreigabe,"KRKA, d.d., Novo mesto HR-Beiname: KRKA, tovarna zdravil, d.d., Novo mesto",3328333,8501 NOVO MESTO,Slowenien
A02BC05,A02BC05,Esomeprazol,2181163,ESOMEP 40 mg magensaftresistente Hartkapseln,Wirkstoffherstellung,Alivus Life Sciences Limited (BS 1),8083913,"393002 BHARUCH DISTRICT, ANKLESHWAR, GUJARAT",Indien
A02BC05,A02BC05,Esomeprazol,2181163,ESOMEP 40 mg magensaftresistente Hartkapseln,Wirkstoffherstellung,Laurus Labs Limited (BS 3),8160909,"531021 JAWAHARLAL NEHRU PHARMA CITY, PARAWADA MANDAL, ANAKAPALLI, ANDHRA PRADESH",Indien
A02BC05,A02BC05,Esomeprazol,2181163,ESOMEP 40 mg magensaftresistente Hartkapseln,Wirkstoffherstellung,"KRKA, d.d., Novo mesto HR-Beiname: KRKA, tovarna zdravil, d.d., Novo mesto",3328333,8501 NOVO MESTO,Slowenien
A02BC05,A02BC05,Esomeprazol,2181163,ESOMEP 40 mg magensaftresistente Hartkapseln,Wirkstoffherstellung,Sandoz Pharmaceuticals GmbH,3060764,83607 Holzkirchen,Deutschland
