product_id,product_name,licence_number,licence_holder,atc_code,matched_critical_atc,mfr_company,mfr_address,mfr_country,pdf_url
22104,Diflucan 10 mg / ml powder for oral suspension,PA0822/211/006,Pfizer Healthcare Ireland Unlimited Company,"J02AC Triazole derivatives, J02AC01 fluconazole",J02AC01,Fareva Amboise,"Zone Industrielle, 29 route des Industries, 37530 Pocé-sur-Cisse",France,https://assets.hpra.ie/products/Human/22104/ea3747aa-5ab6-4be6-a4e8-1cafaf59734a.pdf
22105,Diflucan 40 mg / ml powder for oral suspension,PA0822/211/007,Pfizer Healthcare Ireland Unlimited Company,"J02AC Triazole derivatives, J02AC01 fluconazole",J02AC01,Fareva Amboise,"Zone Industrielle, 29 route des Industries, 37530 Pocé-sur-Cisse",France,https://assets.hpra.ie/products/Human/22105/c9153316-d817-4880-be96-c8bde4531817.pdf
20127,Cifox 500 mg film-coated tablets,PA0711/122/002,"Rowex Limited,","J01MA Fluoroquinolones, J01MA02 ciprofloxacin",J01MA02,Salutas Pharma GmbH | Rowa Pharmaceuticals Ltd. | Novartis Pharmaceuticals S.R.L.,"Otto-von-Guericke Allee 1, 39179 Barleben | Bantry, Co Cork | 7A Livezeni Street, Targu Mures",Germany | Ireland | Romania,https://assets.hpra.ie/products/Human/20127/422a156b-e9b4-4a9e-a4b6-bae81cc19b42.pdf
20126,Cifox 250 mg film-coated tablets,PA0711/122/001,"Rowex Limited,","J01MA Fluoroquinolones, J01MA02 ciprofloxacin",J01MA02,Salutas Pharma GmbH | Rowa Pharmaceuticals Ltd. | Novartis Pharmaceuticals S.R.L.,"Otto-von-Guericke Allee 1, 39179 Barleben | Bantry, Co Cork | 7A Livezeni Street, Targu Mures",Germany | Ireland | Romania,https://assets.hpra.ie/products/Human/20126/e241e468-a4ef-4df2-98aa-ecc527a5fc9a.pdf
15013,Azithromycin Clonmel 250 mg film-coated tablets,PA0126/150/001,Clonmel Healthcare Ltd,"J01FA Macrolides, J01FA10 azithromycin",J01FA10,Sandoz GmbH | Novartis Pharmaceuticals S.R.L.,"Biochemiestrasse 10, 6250 Kundl | Str. Livezeni nr. 7a, 540472 Targu-Mures, Rom, Clonmel Healthcare Ltd, Waterford Road, Clonmel, Co. Tipperary",Austria | Ireland,https://assets.hpra.ie/products/Human/15013/545fc06a-57db-4f88-8c77-78b5efd9e6fe.pdf
20128,Cifox 750 mg film-coated tablets,PA0711/122/003,"Rowex Limited,","J01MA Fluoroquinolones, J01MA02 ciprofloxacin",J01MA02,Salutas Pharma GmbH | Rowa Pharmaceuticals Ltd. | Novartis Pharmaceuticals S.R.L.,"Otto-von-Guericke Allee 1, 39179 Barleben | Bantry, Co Cork | 7A Livezeni Street, Targu Mures",Germany | Ireland | Romania,https://assets.hpra.ie/products/Human/20128/15d5b013-7dc5-4623-ab42-1216b06f6a15.pdf
37981,Doxycycline 100 mg hard capsules,PA1418/010/002,Athlone Pharmaceuticals Limited,J01AA02 doxycycline,J01AA02,Athlone Pharmaceuticals Limited | Ireland,"Maple House, South County Business Park",Ireland | Ireland,https://assets.hpra.ie/products/Human/37981/40dc98fa-5b94-4f15-948e-84a2c7b4c7d1.pdf
20866,Co-Amoxiclav TEVA 500 mg / 100 mg Powder for Solution for Injection / Infusion,PA0749/011/001,Teva Pharma B.V.,"J01CR Combinations of penicillins, incl. beta-lactamase inhibitors, J01CR02 amoxicillin and enzyme inhibitor",J01CR02,Pharmachemie B.V. | Laboratorio Reig Jofré S.A.,"Swensweg 5, 2031 GA Haarlem | C/ Jarama 111 Polígono Industrial, Toledo 45007, Toledo",Netherlands | Spain,https://assets.hpra.ie/products/Human/20866/331cc07e-3abd-4a12-babd-151f392f0949.pdf
38152,Paracetamol 500 mg tablets,PA1436/040/001,Bluefish Pharmaceuticals AB,N02BE01 paracetamol,N02BE01,Inbiotech Ltd. | Bulgaria,5A Triaditza Str.,Bulgaria | Bulgaria,https://assets.hpra.ie/products/Human/38152/a443e16f-9fe4-43e4-a376-f8ea07b2b228.pdf
16964,Ephedrine Hydrochloride 30mg in 1ml Solution for Injection,PA0549/027/001,Ethypharm,C01CA26 ephedrine,C01CA26,"Fannin Limited
Fannin House,
","South County Business Park,
Dublin 18,
D18 Y0C9",Ireland,https://assets.hpra.ie/products/Human/16964/27af5814-0c65-435f-a3f7-2c2b83ffca1b.pdf
30017,Cuvitru 200 mg / ml solution for subcutaneous injection,PA2004/008/001,Baxalta Innovations GmbH,"J06BA01 immunoglobulins, normal human, for extravascular adm.",J06BA01,Baxalta Belgium Manufacturing SA,"Boulevard René Branquart 80, 7860 Lessines",Belgium,https://assets.hpra.ie/products/Human/30017/7e94edef-1d6b-431b-89d1-3e76bf8f54fe.pdf
40866,Sugammadex 100 mg / mL solution for injection,PA23250/012/001,MSN Labs Europe Limited,V03AB35 sugammadex,V03AB35,Pharmadox Healthcare Limited | MSN Labs Europe Limited,"KW20A Kordin Industrial Park, Paola, PLA3000 | KW20A Corradino Park, Paola, PLA3000",Malta | Malta,https://assets.hpra.ie/products/Human/40866/51dcc3eb-eaaf-4595-81c7-bdc001200076.pdf
15224,Clavamel Forte 500mg / 125mg film-coated tablet,PA0126/243/001,Clonmel Healthcare Ltd,"J01CR Combinations of penicillins, incl. beta-lactamase inhibitors, J01CR02 amoxicillin and enzyme inhibitor",J01CR02,Sandoz GmbH | STADA Arzneimittel AG | Clonmel Healthcare Ltd,"Biochemiestrasse 10, 6250 Kundl | Stadastrasse 2–18, 61118 Bad Vilbel | Waterford Road, Clonmel, Co. Tipperary",Austria | Germany | Ireland,https://assets.hpra.ie/products/Human/15224/e3aa5d6d-8a22-48ba-b2dc-9b079fecb0e5.pdf
30361,"Quadrivalent Influenza Vaccine (split virion, inactivated), suspension for injection in pre-filled syringe Quadrivalent influenza vaccine (split virion, inactivated)",PA23458/010/001,Sanofi Winthrop Industrie,"J07BB Influenza vaccines, J07BB02 influenza, inactivated, split virus or surface antigen",J07BB02,Sanofi Winthrop Industrie,1541 avenue Marcel Mérieux - 69280 Marcy l'Etoile, France,https://assets.hpra.ie/products/Human/30361/22ff0602-ab24-4597-b48a-61b57bd06fbb.pdf
30361,"Quadrivalent Influenza Vaccine (split virion, inactivated), suspension for injection in pre-filled syringe Quadrivalent influenza vaccine (split virion, inactivated)",PA23458/010/001,Sanofi Winthrop Industrie,"J07BB Influenza vaccines, J07BB02 influenza, inactivated, split virus or surface antigen",J07BB02,Sanofi Winthrop Industrie ,"Voie de l’Institut - Parc Industriel d'Incarville B.P 101- 27100 Val de
Reuil ", France,https://assets.hpra.ie/products/Human/30361/22ff0602-ab24-4597-b48a-61b57bd06fbb.pdf
30361,"Quadrivalent Influenza Vaccine (split virion, inactivated), suspension for injection in pre-filled syringe Quadrivalent influenza vaccine (split virion, inactivated)",PA23458/010/001,Sanofi Winthrop Industrie,"J07BB Influenza vaccines, J07BB02 influenza, inactivated, split virus or surface antigen",J07BB02,Sanofi Aventis Zrt,Campona utca 1. (Harbor Park) - 1225 Budapest , Hungary,https://assets.hpra.ie/products/Human/30361/22ff0602-ab24-4597-b48a-61b57bd06fbb.pdf
39062,Rocuronium bromide 10 mg / mL  solution for injection in pre-filled syringe,PA1968/015/001,Laboratoire Aguettant,M03AC09 rocuronium bromide,M03AC09,Laboratoire Aguettant | Laboratoire Aguettant,"1, rue Alexander Fleming | Laboratoire Aguettant, Lieu Dit Chantecaille, 07340 Champagne",France | France,https://assets.hpra.ie/products/Human/39062/2bd0597a-4bd2-441b-a0d2-e18e077c2f85.pdf
37155,"Mykronor 5 micrograms / ml, solution for injection / infusion",PA1968/013/001,Laboratoire Aguettant,C01CA03 norepinephrine,C01CA03,Laboratoire AGUETTANT,"1, rue Alexander Fleming, 69007 Lyon",France,https://assets.hpra.ie/products/Human/37155/e7c714fe-8e6f-4f61-8206-1c7f087a61cc.pdf
21949,Solu-Medrone powder and solvent for solution for injection or concentrate for solution for infusion 500 mg / vial,PA0822/136/003,Pfizer Healthcare Ireland Unlimited Company,"H02AB Glucocorticoids, H02AB04 methylprednisolone",H02AB04,Pfizer Manufacturing Belgium NV,"Rijksweg 12
2870
Puurs-Sint-Amands",Belgium,https://assets.hpra.ie/products/Human/21949/db5e1b36-89df-4a25-ad23-842066651285.pdf
14828,Furosemide 20 mg Tablets,PA0126/008/001,Clonmel Healthcare Ltd,"C03CA Sulfonamides, plain, C03CA01 furosemide",C03CA01,"Clonmel Healthcare Ltd, Waterford Road, Clonmel, Co. Tipperary, Ireland",,Ireland,https://assets.hpra.ie/products/Human/14828/0514ff97-0594-46b3-b4f7-e90445d4190e.pdf
25492,Truoxin I.V. 200mg / 100ml solution for infusion,PA1217/002/001,Hikma Farmacêutica (Portugal) S.A.,"J01MA Fluoroquinolones, J01MA02 ciprofloxacin",J01MA02,"Hikma Farmacêutica (Portugal)
",", S.A.
Estrada do Rio da Mó n.º 8, 8A e 8B – Fervença
2705-906 Terrugem SNT",Portugal,https://assets.hpra.ie/products/Human/25492/cefc252a-0379-46fd-8ea2-29c790cb3486.pdf
25493,Truoxin I.V. 400 mg / 200 ml solution for infusion,PA1217/002/002,Hikma Farmacêutica (Portugal) S.A.,"J01MA Fluoroquinolones, J01MA02 ciprofloxacin",J01MA02,"Hikma Farmacêutica (Portugal)
",", S.A.
Estrada do Rio da Mó n.º 8, 8A e 8B – Fervença
2705-906 Terrugem SNT",Portugal,https://assets.hpra.ie/products/Human/25493/1e2e207d-5323-420e-8ad4-ce764584da08.pdf
19345,Metoject 15 mg solution for injection in pre-filled pen,PA0623/014/004,medac Gesellschaft für klinische Spezialpräparate mbH,"L01BA Folic acid analogues, L01BA01 methotrexate",L01BA01,medac,"Gesellschaft für klinische Spezialpräparate mbH, Theaterstr. 6, 22880 Wedel",Germany,https://assets.hpra.ie/products/Human/19345/63115c1c-a582-49f9-867a-7f58d41d57b5.pdf
19343,Metoject 7.5 mg solution for injection in pre-filled pen,PA0623/014/002,medac Gesellschaft für klinische Spezialpräparate mbH,"L01BA Folic acid analogues, L01BA01 methotrexate",L01BA01,medac,"Gesellschaft für klinische Spezialpräparate mbH, Theaterstr. 6, 22880 Wedel",Germany,https://assets.hpra.ie/products/Human/19343/02fa3b70-64a7-43f2-b539-4239a5be56e0.pdf
