atc_level1,role,n_substances,n_suppliers,n_ulcm_substances,n_countries,top_country,top_country_share,hhi_country,eu_eea_share
A,api_cep,18,158,4,22,IN,0.4937,2925.8,0.2405
A,batch_release,113,133,6,19,FR,0.1729,1048.7,0.985
A,bio_api,38,36,4,11,US,0.5,2808.6,0.3611
A,mah_national,224,165,12,,,,,
B,api_cep,14,133,9,21,IN,0.4962,3198.0,0.1654
B,batch_release,73,99,5,20,DE,0.1386,777.4,0.9802
B,bio_api,47,47,2,19,US,0.3061,1403.6,0.4082
B,mah_national,264,129,20,,,,,
C,api_cep,31,162,21,24,IN,0.463,2600.2,0.284
C,batch_release,50,85,4,19,DE,0.2326,1173.6,0.9884
C,bio_api,4,6,0,4,US,0.5,3333.3,0.3333
C,mah_national,136,133,22,,,,,
D,api_cep,2,21,1,9,IN,0.4762,2789.1,0.2381
D,batch_release,17,19,1,8,DE,0.3684,2077.6,1.0
D,bio_api,6,9,0,7,US,0.3333,1851.9,0.2222
D,mah_national,118,80,9,,,,,
G,api_cep,9,87,1,15,IN,0.5632,3613.4,0.1724
G,batch_release,28,40,0,11,DE,0.25,1537.5,1.0
G,bio_api,6,6,0,6,AT,0.1667,1666.7,0.6667
G,mah_national,72,93,3,,,,,
H,api_cep,23,63,9,15,CN,0.3226,1769.0,0.3065
H,batch_release,26,39,2,14,FR,0.2051,1150.6,1.0
H,bio_api,9,13,0,8,US,0.3077,1716.0,0.3846
H,mah_national,51,69,12,,,,,
J,api_cep,83,283,42,30,CN,0.3475,2410.1,0.1702
J,batch_release,148,119,16,22,DE,0.1667,1038.9,0.9917
J,bio_api,60,46,2,22,US,0.2041,887.1,0.449
J,mah_national,387,147,49,,,,,
L,api_cep,69,230,31,27,IN,0.3,1789.4,0.2
L,batch_release,297,254,33,24,DE,0.2171,1062.7,0.9922
L,bio_api,121,126,13,27,US,0.2901,1142.7,0.3435
L,mah_national,375,208,57,,,,,
M,api_cep,7,41,5,12,IN,0.5122,2932.8,0.2927
M,batch_release,17,66,0,18,DE,0.2121,1033.1,1.0
M,bio_api,8,20,0,11,US,0.2,1200.0,0.3
M,mah_national,86,109,6,,,,,
N,api_cep,56,265,23,32,IN,0.4189,2204.5,0.2604
N,batch_release,83,151,9,24,DE,0.1818,842.5,1.0
N,bio_api,7,9,0,7,US,0.3333,1851.9,0.3333
N,mah_national,249,203,27,,,,,
P,api_cep,4,18,2,4,IN,0.5556,4259.3,0.0556
P,batch_release,2,2,0,2,IE,0.5,5000.0,1.0
P,mah_national,15,16,1,,,,,
R,api_cep,9,69,5,16,IN,0.3478,1821.0,0.4058
R,batch_release,37,38,1,17,FR,0.1538,861.3,0.9487
R,bio_api,6,9,0,4,US,0.6667,4814.8,0.1111
R,mah_national,107,84,8,,,,,
S,api_cep,11,73,6,20,IN,0.3288,1664.5,0.2466
S,batch_release,28,37,4,12,DE,0.2973,1512.1,1.0
S,bio_api,8,25,0,15,US,0.1923,917.2,0.3846
S,mah_national,83,60,15,,,,,
V,api_cep,14,63,8,18,IN,0.3065,1389.2,0.3226
V,batch_release,42,95,9,20,FR,0.1562,931.0,0.9896
V,bio_api,7,7,2,6,DE,0.2857,1836.7,0.7143
V,mah_national,151,103,18,,,,,
