atc_code,atc_level1,role,n_substances,n_suppliers,n_ulcm_substances,n_countries,top_country,top_country_share,hhi_country,eu_eea_share
A01AA,A,mah_national,1,1,0,,,,,
A01AA01,A,mah_national,1,1,0,,,,,
A01AB,A,mah_national,4,3,0,,,,,
A01AB03,A,mah_national,2,2,0,,,,,
A01AB09,A,mah_national,1,1,0,,,,,
A01AB12,A,mah_national,1,1,0,,,,,
A01AD,A,mah_national,1,1,0,,,,,
A01AD02,A,mah_national,1,2,0,,,,,
A02AA01,A,mah_national,3,1,0,,,,,
A02AA04,A,mah_national,1,1,0,,,,,
A02AC,A,mah_national,2,2,0,,,,,
A02AC01,A,mah_national,4,3,0,,,,,
A02AD,A,mah_national,6,2,0,,,,,
A02AD01,A,mah_national,5,2,0,,,,,
A02AF,A,mah_national,5,1,0,,,,,
A02AF02,A,mah_national,5,1,0,,,,,
A02AH,A,mah_national,1,1,0,,,,,
A02AX,A,mah_national,5,2,0,,,,,
A02BA,A,mah_national,4,3,0,,,,,
A02BA01,A,mah_national,1,1,0,,,,,
A02BA03,A,mah_national,1,3,0,,,,,
A02BA53,A,mah_national,3,1,0,,,,,
A02BB,A,mah_national,1,1,0,,,,,
A02BB01,A,mah_national,1,1,0,,,,,
A02BC,A,mah_national,5,25,1,,,,,
A02BC01,A,mah_national,1,12,0,,,,,
A02BC02,A,api_cep,1,43,0,10,IN,0.6744,4721.5,0.2093
A02BC02,A,batch_release,1,1,0,1,DE,1.0,10000.0,1.0
A02BC02,A,mah_national,1,13,0,,,,,
A02BC03,A,mah_national,1,8,0,,,,,
A02BC04,A,mah_national,1,3,0,,,,,
A02BC05,A,api_cep,1,39,1,8,IN,0.5385,3543.7,0.1795
A02BC05,A,batch_release,1,1,1,1,IT,1.0,10000.0,1.0
A02BC05,A,mah_national,1,18,1,,,,,
A02BD08,A,mah_national,3,1,1,,,,,
A02BX,A,mah_national,6,1,0,,,,,
A02BX01,A,mah_national,1,1,0,,,,,
A02BX13,A,mah_national,6,1,0,,,,,
A03AA,A,mah_national,1,1,0,,,,,
A03AA04,A,mah_national,1,2,0,,,,,
A03AB,A,mah_national,1,3,0,,,,,
A03AB02,A,api_cep,1,13,0,5,IN,0.4615,3017.8,0.3077
A03AB02,A,batch_release,1,2,0,2,FR,0.5,5000.0,1.0
A03AB02,A,mah_national,2,4,0,,,,,
A03AX,A,mah_national,4,4,0,,,,,
A03AX08,A,mah_national,1,1,0,,,,,
A03AX13,A,mah_national,4,2,0,,,,,
A03AX58,A,mah_national,2,1,0,,,,,
A03BA,A,mah_national,1,1,1,,,,,
A03BA01,A,api_cep,1,10,1,6,IN,0.5,3000.0,0.4
A03BA01,A,mah_national,1,1,1,,,,,
A03BB,A,mah_national,1,1,0,,,,,
A03BB01,A,mah_national,1,2,0,,,,,
A03FA,A,mah_national,2,7,1,,,,,
A03FA01,A,api_cep,1,4,1,3,IT,0.5,3750.0,0.5
A03FA01,A,mah_national,1,4,1,,,,,
A03FA03,A,mah_national,1,4,0,,,,,
A03FA07,A,mah_national,1,1,0,,,,,
A04AA,A,batch_release,1,1,0,1,IE,1.0,10000.0,1.0
A04AA,A,mah_national,4,15,0,,,,,
A04AA01,A,mah_national,1,13,0,,,,,
A04AA02,A,api_cep,1,11,0,5,CN,0.4545,2892.6,0.0909
A04AA02,A,batch_release,1,1,0,1,DE,1.0,10000.0,1.0
A04AA02,A,mah_national,1,2,0,,,,,
A04AA05,A,api_cep,1,1,0,1,IL,1.0,10000.0,0.0
A04AA05,A,batch_release,1,3,0,3,GR,0.3333,3333.3,1.0
A04AA05,A,mah_national,2,3,0,,,,,
A04AA55,A,mah_national,2,1,0,,,,,
A04AD,A,mah_national,3,3,0,,,,,
A04AD01,A,mah_national,1,1,0,,,,,
A04AD12,A,api_cep,1,11,0,3,IN,0.5455,4380.2,0.0909
A04AD12,A,batch_release,2,1,0,1,NL,1.0,10000.0,1.0
A04AD12,A,mah_national,2,2,0,,,,,
A05,A,batch_release,1,1,0,1,DE,1.0,10000.0,1.0
A05AA,A,mah_national,4,9,0,,,,,
A05AA01,A,batch_release,1,1,0,1,ES,1.0,10000.0,1.0
A05AA01,A,mah_national,1,1,0,,,,,
A05AA02,A,mah_national,1,7,0,,,,,
A05AA03,A,batch_release,1,2,0,2,FR,0.5,5000.0,1.0
A05AA03,A,mah_national,1,1,0,,,,,
A05AA04,A,mah_national,1,1,0,,,,,
A05AX,A,batch_release,1,1,0,1,GB,1.0,10000.0,0.0
A05AX,A,mah_national,1,1,0,,,,,
A05AX04,A,batch_release,1,1,0,1,IE,1.0,10000.0,1.0
A05AX04,A,mah_national,1,1,0,,,,,
A05AX05,A,batch_release,1,1,0,1,GB,1.0,10000.0,0.0
A05AX05,A,mah_national,1,1,0,,,,,
A05AX06,A,batch_release,1,1,0,1,IT,1.0,10000.0,1.0
A05AX06,A,mah_national,1,1,0,,,,,
A05AX07,A,batch_release,1,1,0,1,IE,1.0,10000.0,1.0
A05AX07,A,mah_national,1,1,0,,,,,
A05BA11,A,mah_national,1,1,0,,,,,
A06AB,A,mah_national,7,4,0,,,,,
A06AB02,A,mah_national,1,1,0,,,,,
A06AB06,A,mah_national,2,1,0,,,,,
A06AB08,A,mah_national,1,1,0,,,,,
A06AB58,A,mah_national,4,2,0,,,,,
A06AC,A,mah_national,2,1,0,,,,,
A06AC01,A,mah_national,1,1,0,,,,,
A06AC51,A,mah_national,2,1,0,,,,,
A06AD,A,mah_national,14,14,2,,,,,
A06AD04,A,mah_national,3,1,1,,,,,
A06AD11,A,mah_national,1,4,0,,,,,
A06AD15,A,mah_national,2,3,0,,,,,
A06AD65,A,mah_national,8,8,1,,,,,
