country_iso2,role,n_substances,n_suppliers,eu_eea
IN,api_cep,117,187,False
CN,api_cep,105,186,False
IT,api_cep,54,34,True
DE,api_cep,47,24,True
NL,api_cep,41,9,True
ES,api_cep,32,20,True
US,api_cep,26,25,False
FR,api_cep,19,15,True
CH,api_cep,16,15,False
GB,api_cep,15,9,False
JP,api_cep,14,16,False
KR,api_cep,12,11,False
HU,api_cep,11,6,True
AT,api_cep,10,3,True
IL,api_cep,9,5,False
CZ,api_cep,8,4,True
IE,api_cep,7,4,True
MX,api_cep,7,6,False
SI,api_cep,6,3,True
SK,api_cep,6,3,True
TW,api_cep,6,5,False
BE,api_cep,5,2,True
AR,api_cep,4,4,False
DK,api_cep,4,2,True
LV,api_cep,4,2,True
LU,api_cep,3,2,True
MN,api_cep,3,3,False
MY,api_cep,3,2,False
OM,api_cep,3,1,False
ZA,api_cep,3,2,False
FI,api_cep,2,1,True
SE,api_cep,2,2,True
TR,api_cep,2,3,False
BR,api_cep,1,2,False
CA,api_cep,1,1,False
CO,api_cep,1,1,False
MO,api_cep,1,1,False
PL,api_cep,1,1,True
PT,api_cep,1,1,True
SA,api_cep,1,1,False
TH,api_cep,1,1,False
DE,batch_release,33,27,True
FR,batch_release,26,24,True
IE,batch_release,17,16,True
BE,batch_release,15,8,True
ES,batch_release,15,12,True
IT,batch_release,15,15,True
NL,batch_release,13,13,True
PL,batch_release,11,7,True
DK,batch_release,7,12,True
GR,batch_release,6,5,True
HU,batch_release,6,7,True
AT,batch_release,5,5,True
MT,batch_release,5,1,True
SI,batch_release,5,4,True
GB,batch_release,4,3,False
FI,batch_release,3,2,True
CZ,batch_release,2,2,True
HR,batch_release,2,2,True
NO,batch_release,2,2,True
RO,batch_release,2,2,True
SE,batch_release,2,2,True
BG,batch_release,1,1,True
CY,batch_release,1,1,True
PT,batch_release,1,1,True
DE,bio_api,9,5,True
DK,bio_api,6,3,True
US,bio_api,6,7,False
IE,bio_api,3,3,True
KR,bio_api,3,2,False
CH,bio_api,2,2,False
FR,bio_api,2,2,True
IT,bio_api,2,1,True
AT,bio_api,1,1,True
AU,bio_api,1,1,False
BE,bio_api,1,2,True
ES,bio_api,1,1,True
GB,bio_api,1,1,False
MY,bio_api,1,1,False
NL,bio_api,1,1,True
SE,bio_api,1,1,True
