norm_key,ulcm_substance_raw,atc_codes,ulcm_rows,is_combination,role,n_suppliers,n_countries,top_country,top_country_share,hhi_country,single_country,eu_eea_share,countries
abacavir,ABACAVIR,J05AF06,1,False,api_cep,11.0,2.0,IN,0.8181818181818182,7024.8,False,0.0,CN|IN
abacavir,ABACAVIR,J05AF06,1,False,batch_release,2.0,2.0,IE,0.5,5000.0,False,1.0,IE|PL
abacavir|lamivudine,"ABACAVIR, LAMIVUDINE",J05AR02,1,True,batch_release,1.0,1.0,ES,1.0,10000.0,True,1.0,ES
acetazolamide,ACETAZOLAMIDE,S01EC01,1,False,api_cep,3.0,1.0,IN,1.0,10000.0,True,0.0,IN
acetylcholine,ACETYLCHOLINE,S01EB09,1,False,,,,,,,,,
acetylcysteine,ACETYLCYSTEINE,R05CB01|V03AB23,2,False,api_cep,13.0,9.0,CN,0.23076923076923078,1360.9,False,0.38461538461538464,CH|CN|DE|ES|FR|IN|IT|JP|TW
aciclovir,ACICLOVIR,J05AB01,1,False,api_cep,16.0,5.0,IN,0.375,2578.1,False,0.375,CN|DE|ES|IN|IT
adenosine,ADENOSINE,C01EB10,1,False,api_cep,4.0,3.0,IN,0.5,3750.0,False,0.25,CN|DE|IN
adrenaline,EPINEPHRINE,C01CA24,1,False,api_cep,8.0,5.0,CN,0.25,2187.5,False,0.5,CN|DE|IN|IT|LU
adrenaline,EPINEPHRINE,C01CA24,1,False,batch_release,1.0,1.0,DK,1.0,10000.0,True,1.0,DK
albendazole,ALBENDAZOLE,P02CA03,1,False,api_cep,7.0,3.0,IN,0.7142857142857143,5510.2,False,0.0,CN|IN|MX
albumin,ALBUMIN,B05AA01|V09GA04|V09GB02,3,False,,,,,,,,,
alteplase,ALTEPLASE,B01AD02,1,False,,,,,,,,,
amikacin,AMIKACIN,J01GB06,1,False,api_cep,2.0,1.0,CN,1.0,10000.0,True,0.0,CN
amiodarone,AMIODARONE,C01BD01,1,False,api_cep,12.0,6.0,IN,0.3333333333333333,2083.3,False,0.4166666666666667,CN|DE|FR|IL|IN|IT
amoxicillin,AMOXICILLIN,J01CA04,1,False,api_cep,19.0,9.0,CN,0.2631578947368421,1634.3,False,0.2631578947368421,AT|CN|ES|GB|IL|IN|IT|MN|OM
amoxicillin|clavulanic acid,"AMOXICILLIN, CLAVULANIC ACID",J01CR02,1,True,,,,,,,,,
amphotericin,AMPHOTERICIN B,J02AA01,1,False,api_cep,3.0,3.0,CN,0.3333333333333333,3333.3,False,0.3333333333333333,CN|DK|IN
ampicillin,AMPICILLIN,J01CA01,1,False,api_cep,15.0,7.0,CN,0.3333333333333333,1911.1,False,0.3333333333333333,AT|CN|ES|IN|IT|MN|OM
anakinra,ANAKINRA,L04AC03,1,False,batch_release,1.0,1.0,SE,1.0,10000.0,True,1.0,SE
anakinra,ANAKINRA,L04AC03,1,False,bio_api,2.0,2.0,AT,0.5,5000.0,False,1.0,AT|SE
anti d immunoglobulin,HUMAN ANTI-D IMMUNOGLOBULIN,J06BB01,1,False,,,,,,,,,
antilymphocyte immunoglobulin,ANTILYMPHOCYTE IMMUNOGLOBULIN (horse),L04AA03,1,False,,,,,,,,,
antithrombin iii,ANTITHROMBIN III,B01AB02,1,False,,,,,,,,,
antithymocyte immunoglobulin,ANTITHYMOCYTE IMMUNOGLOBULIN (rabbit),L04AA04,1,False,,,,,,,,,
argipressin,ARGIPRESSIN,H01BA01,1,False,,,,,,,,,
atracurium,ATRACURIUM,M03AC04,1,False,api_cep,6.0,6.0,CN,0.16666666666666666,1666.7,False,0.6666666666666666,CN|ES|HU|IN|LV|NL
atropine,ATROPINE,A03BA01,1,False,api_cep,10.0,6.0,IN,0.5,3000.0,False,0.4,CN|DE|ES|IE|IN|LU
atropine,ATROPINE,A03BA01,1,False,batch_release,1.0,1.0,FI,1.0,10000.0,True,1.0,FI
avibactam|ceftazidime,"CEFTAZIDIME, AVIBACTAM",J01DD52,1,True,batch_release,1.0,1.0,IT,1.0,10000.0,True,1.0,IT
azithromycin,AZITHROMYCIN,J01FA10,1,False,api_cep,3.0,2.0,CN,0.6666666666666666,5555.6,False,0.0,CN|IN
aztreonam,AZTREONAM,J01DF01,1,False,batch_release,1.0,1.0,IE,1.0,10000.0,True,1.0,IE
b vaccine|hepatitis a,HEPATITIS A AND B VACCINE,J07BC20,1,True,,,,,,,,,
basiliximab,BASILIXIMAB,L04AC02,1,False,batch_release,2.0,2.0,DE,0.5,5000.0,False,1.0,DE|ES
basiliximab,BASILIXIMAB,L04AC02,1,False,bio_api,1.0,1.0,FR,1.0,10000.0,True,1.0,FR
bcg vaccine,BCG VACCINE (various forms),L03AX03,1,False,,,,,,,,,
bedaquiline,BEDAQUILINE,J04AK05,1,False,batch_release,1.0,1.0,BE,1.0,10000.0,True,1.0,BE
benzathine benzylpenicillin,BENZATHINE BENZYLPENICILLIN,J01CE08,1,False,,,,,,,,,
benzylpenicillin,BENZYLPENICILLIN,J01CE01,1,False,api_cep,6.0,6.0,AT,0.16666666666666666,1666.7,False,0.5,AT|CN|DE|MN|MX|NL
biperiden,BIPERIDEN,N04AA02,1,False,api_cep,4.0,3.0,IN,0.5,3750.0,False,0.25,HU|IN|US
bleomycin,BLEOMYCIN,L01DC01,1,False,api_cep,3.0,3.0,CN,0.3333333333333333,3333.3,False,0.3333333333333333,CN|JP|NL
brentuximab vedotin,BRENTUXIMAB VEDOTIN,L01FX05,1,False,batch_release,1.0,1.0,AT,1.0,10000.0,True,1.0,AT
brentuximab vedotin,BRENTUXIMAB VEDOTIN,L01FX05,1,False,bio_api,3.0,3.0,CH,0.3333333333333333,3333.3,False,0.3333333333333333,CH|GB|IT
busulfan,BUSULFAN,L01AB01,1,False,api_cep,7.0,4.0,IN,0.5714285714285714,3877.6,False,0.2857142857142857,DE|IN|IT|US
busulfan,BUSULFAN,L01AB01,1,False,batch_release,1.0,1.0,DE,1.0,10000.0,True,1.0,DE
caffeine,CAFFEINE,N06BC01,1,False,api_cep,9.0,3.0,CN,0.6666666666666666,5061.7,False,0.2222222222222222,CN|DE|IN
