Monograph Number	Substance	Type CEP	Certificate (CEP) Holder	Holder SPOR ORG-ID / SPOR LOC-ID	Certificate (CEP) Number	Issue Date CEP	Status CEP	Renewal due	End date CEP	Closure Date of last Procedure
0	(6,7)-3-hydroxymethyl-7-(z-2-methoxyimino-2-(fur-2-yl)acetamido)ceph-3-em-4-carb, (640/2 sodium)	TSE	Glaxo Wellcome London GB		R0-CEP 2000-275 - Rev 01	21/11/2001	Withdrawn by Holder		03/08/2006	03/08/2006
0	1,2-dihydrotriamcinolone	TSE	Pharmacia & Upjohn Company Kalamazoo US		R0-CEP 2001-231 - Rev 00	09/04/2002	Expired		09/04/2007	15/06/2007
0	16-alpha-Hydroxyprednisolone	TSE	Pharmacia & Upjohn Company Kalamazoo US		R0-CEP 2001-018 - Rev 00	24/10/2001	Withdrawn by Holder		24/10/2006	24/10/2006
0	215189 Plate Columbia Anaerobic Sheep Blood Agar 100 ea	TSE	Becton, Dickinson and Company Sparks US		R1-CEP 2007-095 - Rev 03	19/02/2018	Valid			19/02/2018
0	3-oxo-4-azaandrost-5-ene-17beta-carboxylic acid, Delta-5-4-Aza-Acid	TSE	Pharmacia & Upjohn Company Kalamazoo US		R0-CEP 2000-292 - Rev 00	12/12/2001	Withdrawn by Holder		12/12/2006	12/12/2006
0	A-Chymotrypsin, Type II (product number C4129)	TSE	Sigma-Aldrich Corporation Saint Louis US		R1-CEP 2000-322 - Rev 03	23/11/2018	Valid			23/11/2018
0	Absorbable Collagen Sponge	TSE	INTEGRA LIFESCIENCES CORPORATION Princeton US		R1-CEP 2006-268 - Rev 01	26/02/2021	Valid			26/02/2021
0	Absorbable Collagen Sponge	TSE	INTEGRA LIFESCIENCES CORPORATION Princeton US		R1-CEP 2000-372 - Rev 02	14/06/2021	Valid			14/06/2021
0	AC Broth without Dextrose, (Product codes: 212363 and 212326)	TSE	Becton, Dickinson and Company Sparks US		R0-CEP 2001-327 - Rev 01	22/02/2005	Expired		02/12/2007	22/02/2005
0	Adenosine Deaminase	TSE	Diagnostic Chemicals Limited Charlottetown CA		R0-CEP 2001-156 - Rev 03	30/06/2005	Expired		29/04/2007	30/06/2005
0	Adult bovine donor serum	TSE	JS BIOLOGICS INC Lake Mills US	100051481 / 100090252	CEP 2018-194 - Rev 01	02/07/2024	Valid			02/07/2024
0	Adult bovine plasma	TSE	MOREGATE EXPORTS LTD Hamilton NZ		R1-CEP 2003-199 - Rev 00	24/03/2009	Valid			25/04/2023
0	Adult bovine plasma	TSE	Moregate Exports Pty Ltd Brisbane AU		R1-CEP 2005-192 - Rev 00	08/11/2010	Valid			08/11/2010
0	Adult bovine serum	TSE	MOREGATE EXPORTS LTD Hamilton NZ		R1-CEP 2001-093 - Rev 01	16/04/2007	Valid			18/04/2007
0	Adult bovine serum	TSE	Bio International ltd Hamilton NZ		R0-CEP 2007-069 - Rev 00	05/05/2008	Expired		13/06/2013	13/05/2008
0	Adult bovine serum	TSE	Selborne Biological Services (Australia) Pty. Ltd. Longford AU		R1-CEP 2001-452 - Rev 01	13/09/2011	Valid			13/09/2011
0	Adult bovine serum	TSE	GE HEALTHCARE BIO-SCIENCES AUSTRIA GMBH Pasching AT		R1-CEP 2005-090 - Rev 02	18/10/2016	Withdrawn by Holder		30/01/2018	18/10/2016
0	Adult bovine serum	TSE	AUSTRALIAN BIO-TECH LABORATORIES PTY LTD. Rutherford AU		R0-CEP 2018-138 - Rev 01	24/09/2019	Expired		12/04/2024	24/09/2019
0	Adult bovine serum	TSE	Bovogen Biologicals Pty. Ltd. East Keilor AU		R1-CEP 2014-142 - Rev 00	16/01/2020	Valid			16/01/2020
0	Adult bovine serum	TSE	AUCKLAND BIOSCIENCES LIMITED Auckland NZ		R0-CEP 2021-273 - Rev 00	23/03/2022	Valid	23/03/2027		23/03/2022
0	Adult bovine serum	TSE	AUSGENEX PTY LTD Molendinar AU	100050112 / 100087511	CEP 2018-141 - Rev 01	11/12/2023	Valid			11/12/2023
0	Adult bovine serum, defibrinated	TSE	MOREGATE EXPORTS LTD Hamilton NZ		R1-CEP 2000-174 - Rev 00	19/02/2006	Valid			19/02/2006
0	Adult bovine serum, SH30402, SH30403, SH30409, SH30414, SH30528	TSE	CYTIVA Tauranga NZ		R1-CEP 2000-392 - Rev 03	05/06/2020	Valid			05/06/2020
0	Alkyldiamine Ethoxylate, Berol 335	TSE	Akzo Nobel Surface Chemistry AB Stenungsund SE		R0-CEP 2001-105 - Rev 01	18/02/2005	Withdrawn by Holder		15/12/2006	15/12/2006
0	Alphamethyl Epoxide	TSE	Pharmacia & Upjohn Company Kalamazoo US		R0-CEP 2001-046 - Rev 00	28/01/2002	Expired		28/01/2007	13/06/2007
0	Animal Charcoal	TSE	HA1 NATURAL LIMITED Greenock GB		R1-CEP 2003-003 - Rev 01	07/05/2012	Valid			07/05/2012
0	Anorganic Bone Mineral	TSE	CERAPEDICS, INC. Westminster US		R0-CEP 2008-227 - Rev 00	24/07/2009	Expired		08/09/2014	24/07/2009
0	Anorganic Bone Mineral	TSE	CERAPEDICS, INC. Westminster US	100050389 / 100087962	CEP 2019-306 - Rev 01	09/04/2024	Valid			07/01/2025
0	Bacteriological Bile, (Product code 10.236)	TSE	Organotechnie SAS La Courneuve FR		R1-CEP 2001-336 - Rev 00	06/02/2008	Valid			24/02/2012
0	Bacteriological Meat Extract	TSE	Solabia Pantin FR		R1-CEP 2000-236 - Rev 01	25/07/2012	Valid			25/07/2012
0	Bacteriological Meat Extract 2	TSE	Solabia Pantin FR		R0-CEP 2000-237 - Rev 03	18/03/2005	Withdrawn by Holder		16/06/2006	16/06/2006
0	Bacteriological peptone	TSE	Oxoid Ltd. Basingstoke, Hants GB		R1-CEP 2001-187 - Rev 00	14/03/2007	Valid			07/08/2025
0	Bacteriological peptone, Number 2	TSE	Oxoid Ltd. Basingstoke, Hants GB		R1-CEP 2007-090 - Rev 00	28/03/2014	Valid			29/04/2025
0	Beef Extract Paste	TSE	LIFE TECHNOLOGIES CORPORATION Grand Island US		R1-CEP 2000-181 - Rev 01	21/02/2020	Valid			21/02/2020
0	Beef Extract Powder, Product code 150	TSE	BIOTECNICA INTERNACIONAL S.A. DE C.V. Oaxaca MX		R1-CEP 2001-299 - Rev 03	07/04/2022	Valid			07/04/2022
0	Beef Extract, Desiccated, Product code 211520	TSE	LIFE TECHNOLOGIES CORPORATION Grand Island US		R1-CEP 2001-174 - Rev 05	21/02/2020	Valid			21/02/2020
0	Beef Heart Infusion	TSE	Solabia Pantin FR		R1-CEP 2000-252 - Rev 01	25/07/2012	Valid			25/07/2012
0	Beef Heart Infusion, Cat: 138 	TSE	BIOTECNICA INTERNACIONAL S.A. DE C.V. Oaxaca MX		R1-CEP 2007-139 - Rev 01	07/04/2022	Valid			07/04/2022
0	Betamethasone Triene, (Betamethasone 6/6 BMS)	TSE	Pharmacia & Upjohn Company Kalamazoo US		R0-CEP 2000-407 - Rev 00	07/12/2001	Withdrawn by Holder		06/12/2006	06/12/2006
0	Betamethyl Epoxide, 11 DB, (17a,21-dihydroxy-16b-methyl-9b,11b-oxidopregna-1,4-diene-3,20-dione)	TSE	Pharmacia & Upjohn Company Kalamazoo US		R0-CEP 2001-070 - Rev 00	04/03/2002	Expired		04/03/2007	15/06/2007
0	Bile Acids and Derivatives, Cholic acid, Deoxycholic acid, Dehydrocholic acid, Mixed bile acids, Sodium cholate, Sodium deoxycholate, Bile salts N°3 and Sodium taurocholate	TSE	NEW ZEALAND PHARMACEUTICALS LTD. Palmerston North NZ	100003863 / 100002695	CEP 2000-383 - Rev 06	30/05/2024	Valid			30/05/2024
0	Bile powder, Standard and special bile	TSE	NEW ZEALAND PHARMACEUTICALS LTD. Palmerston North NZ		R1-CEP 2013-347 - Rev 01	17/07/2023	Valid			17/07/2023
0	Bile Salts, Product codes: 213010 and 213020	TSE	Becton, Dickinson and Company Sparks US		R1-CEP 2001-027 - Rev 00	18/07/2007	Valid			03/12/2013
0	Bismuth Sulfite Agar, Product code 273300	TSE	Becton, Dickinson and Company Sparks US		R1-CEP 2000-369 - Rev 03	03/09/2013	Valid			03/09/2013
0	Bitek Fermentation Broth, FD, (Product code 211290)	TSE	Becton, Dickinson and Company Sparks US		R0-CEP 2002-081 - Rev 01	22/02/2005	Expired		24/10/2007	22/02/2005
0	Bitek Fermentation Broth, Product code 214947	TSE	Becton, Dickinson and Company Sparks US		R0-CEP 2007-339 - Rev 00	22/05/2008	Withdrawn by Holder		27/10/2011	27/05/2008
0	Bitek Fermentation Broth, Product code: 259520	TSE	LIFE TECHNOLOGIES CORPORATION Grand Island US		R1-CEP 2001-172 - Rev 05	21/02/2020	Valid			21/02/2020
0	Bitek Proteose Peptone, Product code 253310	TSE	LIFE TECHNOLOGIES CORPORATION Grand Island US		R1-CEP 2001-326 - Rev 01	21/02/2020	Valid			21/02/2020
0	Blood Agar Base	TSE	Becton, Dickinson and Company Sparks US		R0-CEP 2000-280 - Rev 01	22/02/2005	Expired		28/03/2007	22/02/2005
0	Blood Agar Base	TSE	Schering AG Berlin DE		R0-CEP 2001-153 - Rev 01	16/03/2005	Expired		22/02/2007	16/03/2005
0	Blood Agar Base, Columbia, Product codes: 279220, 279230 and 279240	TSE	Becton, Dickinson and Company Sparks US		R1-CEP 2000-359 - Rev 01	09/12/2008	Valid			28/11/2011
0	Blood Agar, (Tryptic Soy Agar with 5% Sheep Blood; Product codes: 01198, 01200, 01201 and 01202)	TSE	Remel Inc Lenexa US		R1-CEP 2001-192 - Rev 00	13/02/2008	Valid			10/01/2012
0	Blood Meal, Dried	TSE	Alliance Group Ltd Invercargill NZ		R1-CEP 2000-332 - Rev 00	25/04/2006	Withdrawn by Holder		19/11/2024	25/04/2006
0	Blood Meal, Dried	TSE	JBS S/A Lins BR		R1-CEP 2004-090 - Rev 00	10/05/2011	Valid			09/07/2012
0	Bordet Gengou Agar Base, (Product codes: 211050 and 211051)	TSE	Becton, Dickinson and Company Sparks US		R0-CEP 2000-318 - Rev 01	10/04/2003	Withdrawn by Holder		18/01/2006	18/01/2006
0	Bovine Albumin	TSE	Boval Company Cleburne US		R1-CEP 2003-204 - Rev 00	06/04/2009	Withdrawn by EDQM Failure to CEP procedure		09/07/2025	19/08/2011
0	Bovine Albumin	TSE	PROLIANT BIOLOGICALS, LLC Ankeny US	100049503 / 100084834	CEP 2001-120 - Rev 02	16/12/2025	Valid			04/08/2026
0	Bovine Albumin	TSE	PROLIANT BIOLOGICALS, LLC Ankeny US	100049503 / 100084834	CEP 2020-162 - Rev 01	05/08/2026	Valid			05/08/2026
0	Bovine Albumin FR V, (Code number 81-068, 81-003, 81-024, 81-065, 82-002, 82-100, 82-150, 84-001, 84-022, 84-065, 81-066, 82-045, 82-047, 81-007, 81-070, 81-077, 81-078, 81-079, 81-177, 82-046, 84-066) 	TSE	MILLIPORE Kankakee US		R1-CEP 2000-195 - Rev 04	09/07/2009	Valid			13/07/2012
0	Bovine Albumin, (Code Number 81-003)	TSE	Serologicals Proteins Inc Kankakee US		R0-CEP 2001-053 - Rev 01	20/10/2005	Withdrawn by Holder		27/11/2006	27/11/2006
0	Bovine Albumin, (Code Number 81-024)	TSE	Serologicals Proteins Inc Kankakee US		R0-CEP 2001-054 - Rev 01	20/10/2005	Withdrawn by Holder		27/11/2006	27/11/2006
0	Bovine Albumin, (Code Number 82-002)	TSE	Serologicals Proteins Inc Kankakee US		R0-CEP 2001-052 - Rev 01	20/10/2005	Withdrawn by Holder		27/11/2006	27/11/2006
0	Bovine Albumin, (Code Number 84-001)	TSE	Serologicals Proteins Inc Kankakee US		R0-CEP 2001-055 - Rev 01	20/10/2005	Withdrawn by Holder		27/11/2006	27/11/2006
0	Bovine Albumin, (Code Number 84-022)	TSE	Serologicals Proteins Inc Kankakee US		R0-CEP 2001-051 - Rev 01	20/10/2005	Withdrawn by Holder		27/11/2006	27/11/2006
0	Bovine Albumin, (Fr V, Product code 81-065)	TSE	Serologicals Proteins Inc Kankakee US		R0-CEP 2001-206 - Rev 01	20/10/2005	Expired		18/10/2007	20/10/2005
0	Bovine Aprotinin, (Catalogue Number 7107)	TSE	Celliance Toronto, Inc. Toronto CA		R1-CEP 2000-208 - Rev 00	07/03/2006	Withdrawn by Holder		27/02/2012	07/03/2006
0	Bovine Calf Serum	TSE	Equitech-Bio, Inc. Kerrville US		R1-CEP 2002-014 - Rev 00	05/07/2007	Valid			05/07/2007
0	Bovine Calf Serum	TSE	SAFC Biosciences INC. Lenexa US		R0-CEP 2009-104 - Rev 00	25/06/2010	Withdrawn by Holder		22/02/2012	28/06/2010
0	Bovine Calf Serum	TSE	SERADIGM/VWR INTERNATIONAL Radnor US		R0-CEP 2014-230 - Rev 00	24/11/2015	Expired		24/11/2020	24/11/2015
0	Bovine Calf Serum	TSE	GE HEALTHCARE BIO-SCIENCES AUSTRIA GMBH Pasching AT		R1-CEP 2001-216 - Rev 02	18/10/2016	Withdrawn by Holder		17/01/2019	18/10/2016
0	Bovine Calf Serum	TSE	AUSGENEX PTY LTD Molendinar AU		R1-CEP 2018-036 - Rev 00	24/03/2023	Valid			24/03/2023
