medicine_name;active_substance;atc_code;ema_url;pdf_url;source_block;manufacturer_name;address;country;manufacturer_step;latitude;longitude
SCEMBLIX;asciminib hydrochloride;L01EA06;https://www.ema.europa.eu/en/medicines/human/EPAR/scemblix;https://www.ema.europa.eu/en/documents/product-information/scemblix-epar-product-information_en.pdf;Novartis Farmacéutica S.A. | Gran Via de les Corts Catalanes, 764 | 08013 Barcelona | Spain;Novartis Farmacéutica S.A;Novartis Farmacéutica S.A., Gran Via de les Corts Catalanes, 764, 08013 Barcelona, Spain;Spain;batch_release;41.3825802;2.177073
SCEMBLIX;asciminib hydrochloride;L01EA06;https://www.ema.europa.eu/en/medicines/human/EPAR/scemblix;https://www.ema.europa.eu/en/documents/product-information/scemblix-epar-product-information_en.pdf;Novartis Pharma GmbH | Sophie-Germain-Strasse 10 | 90443 Nuremberg | Germany;Novartis Pharma GmbH;Novartis Pharma GmbH, Sophie-Germain-Strasse 10, 90443 Nuremberg, Germany;Germany;batch_release;49.453872;11.077298
SCEMBLIX;asciminib hydrochloride;L01EA06;https://www.ema.europa.eu/en/medicines/human/EPAR/scemblix;https://www.ema.europa.eu/en/documents/product-information/scemblix-epar-product-information_en.pdf;Novartis Pharmaceutical Manufacturing LLC | Verovškova Ulica 57 | 1000 Ljubljana | Slovenia;Novartis Pharmaceutical Manufacturing LLC;Novartis Pharmaceutical Manufacturing LLC, Verovškova Ulica 57, 1000 Ljubljana, Slovenia;Slovenia;batch_release;46.0500268;14.5069289
MCOMBRIAX;single-stranded, 5’-capped messenger RNAs (mRNAs) produced using a cell-free in vitro transcription from the corresponding DNA template, encoding seasonal influenza haemagglutinin (HA) glycoproteins: A/H1N1, A/H3N2, B/Victoria;J07B;https://www.ema.europa.eu/en/medicines/human/EPAR/mcombriax;https://www.ema.europa.eu/en/documents/product-information/mcombriax-epar-product-information_en.pdf;ModernaTX, Inc. | One Moderna Way | Norwood, MA 02062 | USA;ModernaTX, Inc;ModernaTX, Inc., One Moderna Way, Norwood, MA 02062, USA;United States;biological_active_substance;39.7837304;-100.445882
MCOMBRIAX;single-stranded, 5’-capped messenger RNAs (mRNAs) produced using a cell-free in vitro transcription from the corresponding DNA template, encoding seasonal influenza haemagglutinin (HA) glycoproteins: A/H1N1, A/H3N2, B/Victoria;J07B;https://www.ema.europa.eu/en/medicines/human/EPAR/mcombriax;https://www.ema.europa.eu/en/documents/product-information/mcombriax-epar-product-information_en.pdf;MODERNA BIOTECH SPAIN, S.L. | C/ Julián Camarillo n° 31 | 28037 Madrid | Spain;MODERNA BIOTECH SPAIN, S.L;MODERNA BIOTECH SPAIN, S.L., C/ Julián Camarillo n° 31, 28037 Madrid, Spain;Spain;batch_release;40.416782;-3.703507
MRESVIA;Single-stranded 5' capped mRNA encoding the respiratory syncytial virus glycoprotein F stabilised in the prefusion conformation / Respiratory syncytial virus mRNA vaccine (nucleoside modified);J07BX05;https://www.ema.europa.eu/en/medicines/human/EPAR/mresvia;https://www.ema.europa.eu/en/documents/product-information/mresvia-epar-product-information_en.pdf;ModernaTX, Inc. | One Moderna Way | Norwood, MA 02062 | USA;ModernaTX, Inc;ModernaTX, Inc., One Moderna Way, Norwood, MA 02062, USA;United States;biological_active_substance;39.7837304;-100.445882
MRESVIA;Single-stranded 5' capped mRNA encoding the respiratory syncytial virus glycoprotein F stabilised in the prefusion conformation / Respiratory syncytial virus mRNA vaccine (nucleoside modified);J07BX05;https://www.ema.europa.eu/en/medicines/human/EPAR/mresvia;https://www.ema.europa.eu/en/documents/product-information/mresvia-epar-product-information_en.pdf;MODERNA BIOTECH SPAIN, S.L. | C/ Julián Camarillo n° 31 | 28037 Madrid | Spain;MODERNA BIOTECH SPAIN, S.L;MODERNA BIOTECH SPAIN, S.L., C/ Julián Camarillo n° 31, 28037 Madrid, Spain;Spain;batch_release;40.416782;-3.703507
SPIKEVAX (PREVIOUSLY COVID-19 VACCINE MODERNA);single-stranded / 5’-capped messenger RNA (mRNA) produced using a cell-free in vitro transcription from the corresponding DNA templates / encoding the viral spike (S) protein of SARS-CoV-2;J07BN01;https://www.ema.europa.eu/en/medicines/human/EPAR/spikevax;https://www.ema.europa.eu/en/documents/product-information/spikevax-epar-product-information_en.pdf;ModernaTX, Inc. | One Moderna Way | Norwood, MA 02062 | USA;ModernaTX, Inc;ModernaTX, Inc., One Moderna Way, Norwood, MA 02062, USA;United States;biological_active_substance;39.7837304;-100.445882
SPIKEVAX (PREVIOUSLY COVID-19 VACCINE MODERNA);single-stranded / 5’-capped messenger RNA (mRNA) produced using a cell-free in vitro transcription from the corresponding DNA templates / encoding the viral spike (S) protein of SARS-CoV-2;J07BN01;https://www.ema.europa.eu/en/medicines/human/EPAR/spikevax;https://www.ema.europa.eu/en/documents/product-information/spikevax-epar-product-information_en.pdf;Rovi Pharma Industrial Services, S.A. | Paseo de Europa, 50 | 28703. San Sebastián de los Reyes | Madrid | Spain;Rovi Pharma Industrial Services, S.A;Rovi Pharma Industrial Services, S.A., Paseo de Europa, 50, 28703. San Sebastián de los Reyes, Madrid, Spain;Spain;batch_release;40.416782;-3.703507
SPIKEVAX (PREVIOUSLY COVID-19 VACCINE MODERNA);single-stranded / 5’-capped messenger RNA (mRNA) produced using a cell-free in vitro transcription from the corresponding DNA templates / encoding the viral spike (S) protein of SARS-CoV-2;J07BN01;https://www.ema.europa.eu/en/medicines/human/EPAR/spikevax;https://www.ema.europa.eu/en/documents/product-information/spikevax-epar-product-information_en.pdf;Moderna Biotech Spain S.L. | C/ Julián Camarillo n° 31 | 28037 Madrid | Spain;Moderna Biotech Spain S.L;Moderna Biotech Spain S.L., C/ Julián Camarillo n° 31, 28037 Madrid, Spain;Spain;batch_release;40.416782;-3.703507
SPIKEVAX (PREVIOUSLY COVID-19 VACCINE MODERNA);single-stranded / 5’-capped messenger RNA (mRNA) produced using a cell-free in vitro transcription from the corresponding DNA templates / encoding the viral spike (S) protein of SARS-CoV-2;J07BN01;https://www.ema.europa.eu/en/medicines/human/EPAR/spikevax;https://www.ema.europa.eu/en/documents/product-information/spikevax-epar-product-information_en.pdf;Rovi Pharma Industrial Services, S.A. | Calle Julián Camarillo n°35 | 28037 Madrid | Spain;Rovi Pharma Industrial Services, S.A;Rovi Pharma Industrial Services, S.A., Calle Julián Camarillo n°35, 28037 Madrid, Spain;Spain;batch_release;40.416782;-3.703507
